epoch,timestamp,power_w,utilization_gpu_pct,memory_used_mb,memory_total_mb
1785254234.952462,2026/07/28 15:57:14.943, 35.35, 0, 0, 97887
1785254235.152627,2026/07/28 15:57:15.152, 35.34, 0, 0, 97887
1785254235.352778,2026/07/28 15:57:15.352, 35.34, 0, 0, 97887
1785254235.552887,2026/07/28 15:57:15.552, 35.34, 0, 0, 97887
1785254235.752984,2026/07/28 15:57:15.752, 35.34, 0, 0, 97887
1785254235.953079,2026/07/28 15:57:15.953, 35.34, 0, 0, 97887
1785254236.153178,2026/07/28 15:57:16.153, 35.13, 0, 0, 97887
1785254236.353270,2026/07/28 15:57:16.353, 35.13, 0, 0, 97887
1785254236.553372,2026/07/28 15:57:16.553, 35.13, 0, 0, 97887
1785254236.753470,2026/07/28 15:57:16.753, 35.13, 0, 0, 97887
1785254236.953566,2026/07/28 15:57:16.953, 35.36, 0, 0, 97887
1785254237.153663,2026/07/28 15:57:17.153, 35.36, 0, 0, 97887
1785254237.353757,2026/07/28 15:57:17.353, 35.36, 0, 0, 97887
1785254237.553853,2026/07/28 15:57:17.553, 35.36, 0, 0, 97887
1785254237.753943,2026/07/28 15:57:17.753, 35.36, 0, 0, 97887
1785254237.954029,2026/07/28 15:57:17.953, 35.08, 0, 0, 97887
1785254238.154118,2026/07/28 15:57:18.154, 35.08, 0, 0, 97887
1785254238.354207,2026/07/28 15:57:18.354, 35.08, 0, 0, 97887
1785254238.554294,2026/07/28 15:57:18.554, 35.08, 0, 0, 97887
1785254238.754403,2026/07/28 15:57:18.754, 35.08, 0, 0, 97887
1785254238.954494,2026/07/28 15:57:18.954, 35.10, 0, 0, 97887
1785254239.154578,2026/07/28 15:57:19.154, 35.10, 0, 0, 97887
1785254239.354662,2026/07/28 15:57:19.354, 35.10, 0, 0, 97887
1785254239.554742,2026/07/28 15:57:19.554, 35.10, 0, 0, 97887
1785254239.754838,2026/07/28 15:57:19.754, 35.10, 0, 0, 97887
1785254239.954926,2026/07/28 15:57:19.954, 35.10, 0, 0, 97887
1785254240.155015,2026/07/28 15:57:20.154, 35.10, 0, 0, 97887
1785254240.355101,2026/07/28 15:57:20.355, 35.10, 0, 0, 97887
1785254240.555189,2026/07/28 15:57:20.555, 35.10, 0, 0, 97887
1785254240.755283,2026/07/28 15:57:20.755, 35.10, 0, 0, 97887
1785254240.955364,2026/07/28 15:57:20.955, 35.10, 0, 0, 97887
1785254241.155447,2026/07/28 15:57:21.155, 35.10, 0, 0, 97887
1785254241.355534,2026/07/28 15:57:21.355, 35.10, 0, 0, 97887
1785254241.555624,2026/07/28 15:57:21.555, 35.10, 0, 0, 97887
1785254241.755718,2026/07/28 15:57:21.755, 35.10, 0, 0, 97887
1785254241.955799,2026/07/28 15:57:21.955, 35.13, 0, 0, 97887
1785254242.155884,2026/07/28 15:57:22.155, 35.13, 0, 0, 97887
1785254242.355968,2026/07/28 15:57:22.355, 35.13, 0, 0, 97887
1785254242.556055,2026/07/28 15:57:22.556, 35.13, 0, 0, 97887
1785254242.756242,2026/07/28 15:57:22.756, 35.13, 0, 0, 97887
1785254242.956472,2026/07/28 15:57:22.956, 35.13, 0, 0, 97887
1785254243.156640,2026/07/28 15:57:23.156, 35.13, 0, 0, 97887
1785254243.356797,2026/07/28 15:57:23.356, 35.13, 0, 0, 97887
1785254243.556933,2026/07/28 15:57:23.556, 35.13, 0, 0, 97887
1785254243.757009,2026/07/28 15:57:23.756, 35.13, 0, 0, 97887
1785254243.957097,2026/07/28 15:57:23.957, 35.11, 0, 0, 97887
1785254244.157182,2026/07/28 15:57:24.157, 35.11, 0, 0, 97887
1785254244.357268,2026/07/28 15:57:24.357, 35.11, 0, 0, 97887
1785254244.557355,2026/07/28 15:57:24.557, 35.11, 0, 0, 97887
1785254244.757448,2026/07/28 15:57:24.757, 35.11, 0, 0, 97887
1785254244.957536,2026/07/28 15:57:24.957, 35.12, 0, 0, 97887
