epoch,timestamp,power_w,utilization_gpu_pct,memory_used_mb,memory_total_mb
1785252890.044772,2026/07/28 15:34:50.038, 36.55, 0, 0, 97887
1785252890.244883,2026/07/28 15:34:50.244, 36.53, 0, 0, 97887
1785252890.444987,2026/07/28 15:34:50.444, 36.53, 0, 0, 97887
1785252890.645095,2026/07/28 15:34:50.645, 36.53, 0, 0, 97887
1785252890.845212,2026/07/28 15:34:50.845, 36.53, 0, 0, 97887
1785252891.045300,2026/07/28 15:34:51.045, 36.53, 0, 0, 97887
1785252891.245430,2026/07/28 15:34:51.245, 36.05, 0, 0, 97887
1785252891.445530,2026/07/28 15:34:51.445, 36.05, 0, 0, 97887
1785252891.645629,2026/07/28 15:34:51.645, 36.05, 0, 0, 97887
1785252891.845733,2026/07/28 15:34:51.845, 36.05, 0, 0, 97887
1785252892.045857,2026/07/28 15:34:52.045, 36.05, 0, 0, 97887
1785252892.245985,2026/07/28 15:34:52.245, 36.03, 0, 0, 97887
1785252892.446152,2026/07/28 15:34:52.446, 36.03, 0, 0, 97887
1785252892.646251,2026/07/28 15:34:52.646, 36.03, 0, 0, 97887
1785252892.846382,2026/07/28 15:34:52.846, 36.03, 0, 0, 97887
1785252893.046454,2026/07/28 15:34:53.046, 36.03, 0, 0, 97887
1785252893.246600,2026/07/28 15:34:53.246, 36.03, 0, 0, 97887
1785252893.446699,2026/07/28 15:34:53.446, 36.03, 0, 0, 97887
1785252893.646788,2026/07/28 15:34:53.646, 36.03, 0, 0, 97887
1785252893.846875,2026/07/28 15:34:53.846, 36.03, 0, 0, 97887
1785252894.046988,2026/07/28 15:34:54.046, 36.03, 0, 0, 97887
1785252894.247080,2026/07/28 15:34:54.247, 36.05, 0, 0, 97887
1785252894.447181,2026/07/28 15:34:54.447, 36.05, 0, 0, 97887
1785252894.647290,2026/07/28 15:34:54.647, 36.05, 0, 0, 97887
1785252894.847423,2026/07/28 15:34:54.847, 36.05, 0, 0, 97887
1785252895.047554,2026/07/28 15:34:55.047, 36.05, 0, 0, 97887
1785252895.247640,2026/07/28 15:34:55.247, 36.07, 0, 0, 97887
1785252895.447723,2026/07/28 15:34:55.447, 36.07, 0, 0, 97887
1785252895.647852,2026/07/28 15:34:55.647, 36.07, 0, 0, 97887
1785252895.847965,2026/07/28 15:34:55.847, 36.07, 0, 0, 97887
