cell,model,method,configuration,feature_groups,feature_count,n,threshold,unsafe_acceptance_count,unsafe_acceptance_rate,wilson_upper,risk_limit_met,dense_avoidance_rate,dense_fallback_rate,mean_selected_visual_tokens,median_selected_visual_tokens
7b_fastv,7b,fastv,A0_full,question_structure+task_source+semantic_keywords,17,1200,0.9576295674874401,47,0.03916666666666667,0.04946244185271895,True,0.7375,0.26249999999999996,434.48,432.0
7b_fastv,7b,fastv,A1_structure_only,question_structure,4,1200,0.9457574338904116,47,0.03916666666666667,0.04946244185271895,True,0.6616666666666666,0.3383333333333334,479.9866666666667,432.0
7b_fastv,7b,fastv,A2_task_only,task_source,6,1200,0.9591203728520697,47,0.03916666666666667,0.04946244185271895,True,0.6683333333333333,0.33166666666666667,421.97333333333336,432.0
7b_fastv,7b,fastv,A3_keywords_only,semantic_keywords,7,1200,0.9424735116446883,46,0.03833333333333333,0.04853733375261291,True,0.8208333333333333,0.1791666666666667,450.6933333333333,432.0
7b_fastv,7b,fastv,A4_full_minus_task,question_structure+semantic_keywords,11,1200,0.9460282412627183,42,0.035,0.044825143924860464,True,0.4166666666666667,0.5833333333333333,506.81333333333333,576.0
7b_fastv,7b,fastv,A5_full_minus_keywords,question_structure+task_source,10,1200,0.9567658578085081,47,0.03916666666666667,0.04946244185271895,True,0.7325,0.26749999999999996,417.4266666666667,432.0
7b_fastv,7b,fastv,A6_intercept_only,intercept_only,0,1200,0.954721374889369,44,0.03666666666666667,0.04668366555375045,True,0.5041666666666667,0.49583333333333335,503.4,432.0
7b_scope,7b,scope,A0_full,question_structure+task_source+semantic_keywords,17,1200,0.9580963596067282,7,0.005833333333333334,0.010724083020623285,True,0.1975,0.8025,546.8266666666667,576.0
7b_scope,7b,scope,A1_structure_only,question_structure,4,1200,1.000001,0,0.0,0.002249547670933037,True,0.0,1.0,576.0,576.0
7b_scope,7b,scope,A2_task_only,task_source,6,1200,0.9531901806657515,11,0.009166666666666667,0.014923881325022368,True,0.2733333333333333,0.7266666666666667,497.3333333333333,576.0
7b_scope,7b,scope,A3_keywords_only,semantic_keywords,7,1200,0.9299287016687515,17,0.014166666666666666,0.02097022530146641,True,0.10833333333333334,0.8916666666666666,555.3066666666666,576.0
7b_scope,7b,scope,A4_full_minus_task,question_structure+semantic_keywords,11,1200,0.9585245036003448,5,0.004166666666666667,0.00853447871000194,True,0.014166666666666666,0.9858333333333333,572.3466666666667,576.0
7b_scope,7b,scope,A5_full_minus_keywords,question_structure+task_source,10,1200,0.9611409374385326,8,0.006666666666666667,0.01179248749593075,True,0.2708333333333333,0.7291666666666667,536.8533333333334,576.0
7b_scope,7b,scope,A6_intercept_only,intercept_only,0,1200,1.000001,0,0.0,0.002249547670933037,True,0.0,1.0,576.0,576.0
7b_random,7b,random,A0_full,question_structure+task_source+semantic_keywords,17,1200,0.9334601045754866,47,0.03916666666666667,0.04946244185271895,True,0.7208333333333333,0.2791666666666667,432.16,432.0
7b_random,7b,random,A1_structure_only,question_structure,4,1200,0.9437402145537913,31,0.025833333333333333,0.034499324012971226,True,0.3383333333333333,0.6616666666666666,527.28,576.0
7b_random,7b,random,A2_task_only,task_source,6,1200,0.9418938447843165,44,0.03666666666666667,0.04668366555375045,True,0.6666666666666666,0.33333333333333337,426.5733333333333,432.0
7b_random,7b,random,A3_keywords_only,semantic_keywords,7,1200,0.9270172379049062,45,0.0375,0.04761108701222416,True,0.4225,0.5775,511.0133333333333,576.0
7b_random,7b,random,A4_full_minus_task,question_structure+semantic_keywords,11,1200,0.9287833579200064,47,0.03916666666666667,0.04946244185271895,True,0.42333333333333334,0.5766666666666667,510.04,576.0
7b_random,7b,random,A5_full_minus_keywords,question_structure+task_source,10,1200,0.9403729579224379,47,0.03916666666666667,0.04946244185271895,True,0.6666666666666666,0.33333333333333337,420.49333333333334,432.0
7b_random,7b,random,A6_intercept_only,intercept_only,0,1200,0.9448179298137295,24,0.02,0.027807120053815835,True,0.16833333333333333,0.8316666666666667,551.76,576.0
13b_fastv,13b,fastv,A0_full,question_structure+task_source+semantic_keywords,17,1200,0.9562536175735383,46,0.03833333333333333,0.04853733375261291,True,0.9125,0.08750000000000002,383.5466666666667,432.0
13b_fastv,13b,fastv,A1_structure_only,question_structure,4,1200,0.9440357797653394,32,0.02666666666666667,0.03544650464154142,True,1.0,0.0,431.41333333333336,432.0
13b_fastv,13b,fastv,A2_task_only,task_source,6,1200,0.9661436879295476,46,0.03833333333333333,0.04853733375261291,True,0.7733333333333333,0.22666666666666668,396.44,432.0
