cell,question_structure_mean_absolute_standardized_coefficient,task_source_mean_absolute_standardized_coefficient,semantic_keywords_mean_absolute_standardized_coefficient,full_dense_avoidance_pct,without_task_dense_avoidance_pct,task_only_dense_avoidance_pct
7b_fastv,0.05230652866380679,0.21284071905605656,0.0793851751292289,73.75,41.66666666666667,66.83333333333333
7b_scope,0.05529988644902425,0.23769468789916784,0.07085499942880404,19.75,1.4166666666666665,27.333333333333332
7b_random,0.0546729676181288,0.1901818000981957,0.07956417785564045,72.08333333333333,42.333333333333336,66.66666666666666
13b_fastv,0.07570215492298366,0.16879812751903178,0.06375408559366184,91.25,98.33333333333333,77.33333333333333
13b_scope,0.07998523102666938,0.220886927479769,0.07493922691363294,67.08333333333333,37.583333333333336,50.0
13b_random,0.0695290436735766,0.16919948870176527,0.07968957963184668,69.25,45.25,66.66666666666666
