epoch,timestamp,power_w,utilization_gpu_pct,memory_used_mb,memory_total_mb
1785253137.704987,2026/07/28 15:38:57.698, 35.11, 0, 0, 97887
1785253137.905078,2026/07/28 15:38:57.905, 35.11, 0, 0, 97887
1785253138.105159,2026/07/28 15:38:58.105, 35.11, 0, 0, 97887
1785253138.306332,2026/07/28 15:38:58.306, 35.11, 0, 0, 97887
1785253138.506421,2026/07/28 15:38:58.506, 35.13, 0, 0, 97887
1785253138.706510,2026/07/28 15:38:58.706, 35.13, 0, 0, 97887
1785253138.906598,2026/07/28 15:38:58.906, 35.13, 0, 0, 97887
1785253139.106689,2026/07/28 15:38:59.106, 35.13, 0, 0, 97887
1785253139.306777,2026/07/28 15:38:59.306, 35.13, 0, 0, 97887
1785253139.506865,2026/07/28 15:38:59.506, 35.15, 0, 0, 97887
1785253139.706957,2026/07/28 15:38:59.706, 35.15, 0, 0, 97887
1785253139.907048,2026/07/28 15:38:59.907, 35.15, 0, 0, 97887
1785253140.107137,2026/07/28 15:39:00.107, 35.15, 0, 0, 97887
1785253140.307227,2026/07/28 15:39:00.307, 35.15, 0, 0, 97887
1785253140.507314,2026/07/28 15:39:00.507, 35.14, 0, 0, 97887
1785253140.707405,2026/07/28 15:39:00.707, 35.14, 0, 0, 97887
1785253140.907492,2026/07/28 15:39:00.907, 35.14, 0, 0, 97887
1785253141.107582,2026/07/28 15:39:01.107, 35.14, 0, 0, 97887
1785253141.307670,2026/07/28 15:39:01.307, 35.14, 0, 0, 97887
1785253141.507761,2026/07/28 15:39:01.507, 34.89, 0, 0, 97887
1785253141.707849,2026/07/28 15:39:01.707, 34.89, 0, 0, 97887
1785253141.907937,2026/07/28 15:39:01.907, 34.89, 0, 0, 97887
1785253142.108025,2026/07/28 15:39:02.107, 34.89, 0, 0, 97887
1785253142.308115,2026/07/28 15:39:02.308, 34.89, 0, 0, 97887
1785253142.508200,2026/07/28 15:39:02.508, 35.13, 0, 0, 97887
1785253142.708314,2026/07/28 15:39:02.708, 35.13, 0, 0, 97887
1785253142.908427,2026/07/28 15:39:02.908, 35.13, 0, 0, 97887
1785253143.108515,2026/07/28 15:39:03.108, 35.13, 0, 0, 97887
1785253143.308658,2026/07/28 15:39:03.308, 35.13, 0, 0, 97887
1785253143.508802,2026/07/28 15:39:03.508, 35.15, 0, 0, 97887
1785253143.708927,2026/07/28 15:39:03.708, 35.15, 0, 0, 97887
1785253143.909020,2026/07/28 15:39:03.908, 35.15, 0, 0, 97887
1785253144.109105,2026/07/28 15:39:04.109, 35.15, 0, 0, 97887
1785253144.309194,2026/07/28 15:39:04.309, 35.15, 0, 0, 97887
1785253144.509286,2026/07/28 15:39:04.509, 34.90, 0, 0, 97887
1785253144.709463,2026/07/28 15:39:04.709, 34.90, 0, 0, 97887
1785253144.909541,2026/07/28 15:39:04.909, 34.90, 0, 0, 97887
1785253145.109633,2026/07/28 15:39:05.109, 34.90, 0, 0, 97887
1785253145.309820,2026/07/28 15:39:05.309, 34.90, 0, 0, 97887
1785253145.509888,2026/07/28 15:39:05.509, 34.65, 0, 0, 97887
1785253145.709984,2026/07/28 15:39:05.709, 34.65, 0, 0, 97887
1785253145.910076,2026/07/28 15:39:05.910, 34.65, 0, 0, 97887
1785253146.110333,2026/07/28 15:39:06.110, 34.65, 0, 0, 97887
1785253146.310547,2026/07/28 15:39:06.310, 34.65, 0, 0, 97887
1785253146.510643,2026/07/28 15:39:06.510, 35.13, 0, 0, 97887
1785253146.710799,2026/07/28 15:39:06.710, 35.13, 0, 0, 97887
1785253146.910866,2026/07/28 15:39:06.910, 35.13, 0, 0, 97887
1785253147.110966,2026/07/28 15:39:07.110, 35.13, 0, 0, 97887
1785253147.311094,2026/07/28 15:39:07.311, 35.13, 0, 0, 97887
1785253147.511299,2026/07/28 15:39:07.511, 35.15, 0, 0, 97887
1785253147.711497,2026/07/28 15:39:07.711, 35.15, 0, 0, 97887
1785253147.911589,2026/07/28 15:39:07.911, 35.15, 0, 0, 97887
1785253148.111699,2026/07/28 15:39:08.111, 35.15, 0, 0, 97887
1785253148.311844,2026/07/28 15:39:08.311, 35.15, 0, 0, 97887
1785253148.511957,2026/07/28 15:39:08.511, 35.15, 0, 0, 97887
1785253148.712077,2026/07/28 15:39:08.712, 35.15, 0, 0, 97887
1785253148.912187,2026/07/28 15:39:08.912, 35.15, 0, 0, 97887
1785253149.112291,2026/07/28 15:39:09.112, 35.15, 0, 0, 97887
1785253149.312416,2026/07/28 15:39:09.312, 35.15, 0, 0, 97887
1785253149.512519,2026/07/28 15:39:09.512, 34.89, 0, 0, 97887
1785253149.712631,2026/07/28 15:39:09.712, 34.89, 0, 0, 97887
1785253149.912769,2026/07/28 15:39:09.912, 34.89, 0, 0, 97887
1785253150.112859,2026/07/28 15:39:10.112, 34.89, 0, 0, 97887
1785253150.312951,2026/07/28 15:39:10.312, 34.89, 0, 0, 97887
1785253150.513059,2026/07/28 15:39:10.513, 34.65, 0, 0, 97887
1785253150.713161,2026/07/28 15:39:10.713, 34.65, 0, 0, 97887
1785253150.913265,2026/07/28 15:39:10.913, 34.65, 0, 0, 97887
1785253151.113365,2026/07/28 15:39:11.113, 34.65, 0, 0, 97887
1785253151.313462,2026/07/28 15:39:11.313, 34.65, 0, 0, 97887
1785253151.513563,2026/07/28 15:39:11.513, 34.63, 0, 0, 97887
1785253151.713658,2026/07/28 15:39:11.713, 34.63, 0, 0, 97887
1785253151.913763,2026/07/28 15:39:11.913, 34.63, 0, 0, 97887
1785253152.113864,2026/07/28 15:39:12.113, 34.63, 0, 0, 97887
1785253152.313972,2026/07/28 15:39:12.313, 34.63, 0, 0, 97887
1785253152.514079,2026/07/28 15:39:12.514, 34.60, 0, 0, 97887
1785253152.714212,2026/07/28 15:39:12.714, 34.60, 0, 0, 97887
1785253152.914322,2026/07/28 15:39:12.914, 34.60, 0, 0, 97887
1785253153.114425,2026/07/28 15:39:13.114, 34.60, 0, 0, 97887
1785253153.314526,2026/07/28 15:39:13.314, 34.60, 0, 0, 97887
1785253153.514623,2026/07/28 15:39:13.514, 34.62, 0, 0, 97887
1785253153.714717,2026/07/28 15:39:13.714, 34.62, 0, 0, 97887
1785253153.914807,2026/07/28 15:39:13.914, 34.62, 0, 0, 97887
1785253154.114893,2026/07/28 15:39:14.114, 34.62, 0, 0, 97887
1785253154.315030,2026/07/28 15:39:14.314, 34.62, 0, 0, 97887
1785253154.515129,2026/07/28 15:39:14.515, 34.65, 0, 0, 97887
1785253154.715227,2026/07/28 15:39:14.715, 34.65, 0, 0, 97887
1785253154.915319,2026/07/28 15:39:14.915, 34.65, 0, 0, 97887
1785253155.115407,2026/07/28 15:39:15.115, 34.65, 0, 0, 97887
1785253155.315487,2026/07/28 15:39:15.315, 34.65, 0, 0, 97887
1785253155.515576,2026/07/28 15:39:15.515, 34.63, 0, 0, 97887
1785253155.715664,2026/07/28 15:39:15.715, 34.63, 0, 0, 97887
1785253155.915754,2026/07/28 15:39:15.915, 34.63, 0, 0, 97887
1785253156.115845,2026/07/28 15:39:16.115, 34.63, 0, 0, 97887
1785253156.315935,2026/07/28 15:39:16.315, 34.63, 0, 0, 97887
1785253156.516032,2026/07/28 15:39:16.515, 34.62, 0, 0, 97887
1785253156.716284,2026/07/28 15:39:16.716, 34.62, 0, 0, 97887
1785253156.916522,2026/07/28 15:39:16.916, 34.62, 0, 0, 97887
1785253157.116577,2026/07/28 15:39:17.116, 34.62, 0, 0, 97887
1785253157.316679,2026/07/28 15:39:17.316, 34.62, 0, 0, 97887
1785253157.516779,2026/07/28 15:39:17.516, 34.65, 0, 0, 97887
1785253157.716871,2026/07/28 15:39:17.716, 34.65, 0, 0, 97887
1785253157.916965,2026/07/28 15:39:17.916, 34.65, 0, 0, 97887
1785253158.117081,2026/07/28 15:39:18.117, 34.65, 0, 0, 97887
1785253158.317185,2026/07/28 15:39:18.317, 34.65, 0, 0, 97887
1785253158.517400,2026/07/28 15:39:18.517, 34.65, 0, 0, 97887
1785253158.717451,2026/07/28 15:39:18.717, 34.65, 0, 0, 97887
1785253158.917650,2026/07/28 15:39:18.917, 34.65, 0, 0, 97887
