run_id,family,nvidia_summary,measurement_tier,duration_s,duration_h,mean_power_w,max_power_w,mean_gpu_utilization_pct,max_memory_used_mb,measured_gpu_energy_kwh,codecarbon_available,codecarbon_path,codecarbon_energy_kwh,codecarbon_gpu_energy_kwh,codecarbon_cpu_energy_kwh,codecarbon_ram_energy_kwh,codecarbon_emissions_kgco2e_pue1,codecarbon_country,codecarbon_region,codecarbon_version,facility_gpu_energy_kwh_central,gpu_emissions_kgco2e_low,gpu_emissions_kgco2e_central,gpu_emissions_kgco2e_high,cloud_cost_usd_runtime_proxy
27ac18a67213591c,feature_pilot,results/feature_pilot_fastv_seed101/nvidia_smi_summary.json,tier1_direct_gpu,108.08578038215637,0.030023827883932326,89.76955555555556,370.91,8.351851851851851,18859.0,0.002695225685217101,False,,,,,,,,,,0.003234270822260521,4.447122380608217e-05,0.00010618111109481289,0.00030186527674431525,0.06004765576786465
0d688eb0a80aaa7e,feature_pilot,results/feature_pilot_scope_seed101/nvidia_smi_summary.json,tier1_direct_gpu,75.31693625450134,0.02092137118180593,77.55283819628647,264.36,7.344827586206897,14879.0,0.0016225117141070457,False,,,,,,,,,,0.0019470140569284547,2.6771443282766256e-05,6.392047148896117e-05,0.0001817213119799891,0.04184274236361186
dd59d639bd13c7b9,controller_smoke,results/frozen_controller_gpu_smoke_fastv_warm/nvidia_smi_summary.json,tier1_direct_gpu,83.1280164718628,0.023091115686628555,49.10382211538461,208.39,0.8221153846153846,16081.0,0.0011338620371219757,False,,,,,,,,,,0.0013606344445463707,1.87087236125126e-05,4.466962881445735e-05,0.00012699254815766128,0.04618223137325711
08df93518b3c29ed,original_1200,results/paper1200_llava15_fastv/hardware_monitor/nvidia_smi_summary.json,tier1_direct_gpu,4759.801875114441,1.322167187531789,228.92114560982793,556.48,38.02625268206487,20422.0,0.30267202725750136,True,results/paper1200_llava15_fastv/codecarbon/emissions.csv,0.4699802346829785,0.3192447226177819,0.07963131601357143,0.07110419605162453,0.013036618846879875,Iceland,capital region,3.2.9,0.3632064327090016,0.004994088449748773,0.011924067185836522,0.03389926705284015,2.644334375063578
afa70394c19947aa,original_1200,results/paper1200_llava15_scope/hardware_monitor/nvidia_smi_summary.json,tier1_direct_gpu,4766.128808259964,1.323924668961101,190.4012525210084,505.18,32.34029411764706,16322.0,0.25207691521365505,True,results/paper1200_llava15_scope/codecarbon/emissions.csv,0.4051592273084298,0.25409715716645564,0.07984057755792412,0.07122149258404972,0.011242708078870619,Iceland,capital region,3.2.9,0.30249229825638607,0.004159269101025309,0.009930822151757154,0.028232614503929363,2.647849337922202
0b5c9f2391d06f10,phase_a_1200,results/phase_a_current_llava15_13b_fastv/telemetry_attempts/attempt_001/nvidia_smi_summary.json,tier1_direct_gpu,5463.124035358429,1.5175344542662303,345.6802476064708,466.03,60.67778144602179,40278.0,0.524581685902101,True,results/phase_a_current_llava15_13b_fastv/telemetry_attempts/attempt_001/codecarbon/emissions.csv,0.6985316082677843,0.525459510089604,0.09144711602786976,0.08162498215030864,0.01936239016772846,Iceland,capital region,3.2.9,0.6294980230825211,0.008655597817384666,0.020666420097799166,0.0587531488210353,3.0350689085324607
3e900a26e9e49a82,phase_a_1200,results/phase_a_current_llava15_13b_random/telemetry_attempts/attempt_001/nvidia_smi_summary.json,tier1_direct_gpu,5120.14214348793,1.4222617065244252,309.91558324205914,458.84,52.769636989516506,29178.0,0.44078106630036357,True,results/phase_a_current_llava15_13b_random/telemetry_attempts/attempt_001/codecarbon/emissions.csv,0.6033246552004959,0.44132329111391755,0.08553310911427356,0.07646825497230518,0.01672710335927832,Iceland,capital region,3.2.9,0.5289372795604362,0.007272887593955999,0.017365010887969122,0.049367479425640716,2.8445234130488504
9f46d8a20696a7ae,phase_a_1200,results/phase_a_current_llava15_13b_scope/telemetry_attempts/attempt_001/nvidia_smi_summary.json,tier1_direct_gpu,5820.640130281448,1.6168444806337356,249.23455309475426,437.39,46.126097888609515,29458.0,0.4029735115544692,True,results/phase_a_current_llava15_13b_scope/telemetry_attempts/attempt_001/codecarbon/emissions.csv,0.5873596979584004,0.4027904336210213,0.09742958928112251,0.08713967505625443,0.016285204524788835,Iceland,capital region,3.2.9,0.48356821386536303,0.006649062940648742,0.01587554446119987,0.045133033294100545,3.2336889612674713
5a6ffab17844fcae,phase_a_1200,results/phase_a_current_llava15_7b_fastv/telemetry_attempts/attempt_001/nvidia_smi_summary.json,tier1_direct_gpu,4022.08295750618,1.117245265973939,263.5031382607829,392.58,45.00921406514593,20422.0,0.294397633791136,True,results/phase_a_current_llava15_7b_fastv/telemetry_attempts/attempt_001/codecarbon/emissions.csv,0.4220575493700784,0.29446767279614505,0.0675315457551269,0.06005833081880589,0.011709568389088761,Iceland,capital region,3.2.9,0.35327716054936315,0.004857560957553744,0.011598089180835592,0.03297253498460723,2.234490531947878
56c23f29fcc0cbc3,phase_a_1200,results/phase_a_current_llava15_7b_random/telemetry_attempts/attempt_001/nvidia_smi_summary.json,tier1_direct_gpu,3265.4463543891907,0.9070684317747751,267.7919921467575,387.93,44.545125467820114,16340.0,0.2429056623584022,True,results/phase_a_current_llava15_7b_random/telemetry_attempts/attempt_001/codecarbon/emissions.csv,0.3468782504123691,0.24342583862926404,0.05467459114124172,0.048777820641864096,0.009628628590040746,Iceland,capital region,3.2.9,0.2914867948300826,0.004007943428913636,0.00956951147427161,0.027205434184141043,1.8141368635495503
