epoch,timestamp,power_w,utilization_gpu_pct,memory_used_mb,memory_total_mb
1785252006.483885,2026/07/28 15:20:06.479, 48.10, 0, 0, 97887
1785252006.683928,2026/07/28 15:20:06.683, 48.10, 0, 0, 97887
1785252006.884095,2026/07/28 15:20:06.883, 48.10, 0, 0, 97887
1785252007.084170,2026/07/28 15:20:07.084, 48.06, 0, 0, 97887
1785252007.284244,2026/07/28 15:20:07.284, 48.06, 0, 0, 97887
1785252007.484314,2026/07/28 15:20:07.484, 48.06, 0, 0, 97887
1785252007.684406,2026/07/28 15:20:07.684, 48.06, 0, 0, 97887
1785252007.884480,2026/07/28 15:20:07.884, 48.06, 0, 0, 97887
1785252008.084567,2026/07/28 15:20:08.084, 48.08, 0, 0, 97887
1785252008.284642,2026/07/28 15:20:08.284, 48.08, 0, 0, 97887
1785252008.484721,2026/07/28 15:20:08.484, 48.08, 0, 0, 97887
1785252008.684811,2026/07/28 15:20:08.684, 48.08, 0, 0, 97887
1785252008.884903,2026/07/28 15:20:08.884, 48.08, 0, 0, 97887
1785252009.084987,2026/07/28 15:20:09.084, 36.05, 0, 0, 97887
1785252009.285074,2026/07/28 15:20:09.285, 36.05, 0, 0, 97887
1785252009.485160,2026/07/28 15:20:09.485, 36.05, 0, 0, 97887
1785252009.685241,2026/07/28 15:20:09.685, 36.05, 0, 0, 97887
1785252009.885441,2026/07/28 15:20:09.885, 36.05, 0, 0, 97887
1785252010.085456,2026/07/28 15:20:10.085, 35.52, 0, 0, 97887
1785252010.285547,2026/07/28 15:20:10.285, 35.52, 0, 0, 97887
1785252010.485636,2026/07/28 15:20:10.485, 35.52, 0, 0, 97887
1785252010.685723,2026/07/28 15:20:10.685, 35.52, 0, 0, 97887
1785252010.885806,2026/07/28 15:20:10.885, 35.52, 0, 0, 97887
1785252011.085983,2026/07/28 15:20:11.085, 36.02, 0, 0, 97887
1785252011.286049,2026/07/28 15:20:11.285, 36.02, 0, 0, 97887
1785252011.486286,2026/07/28 15:20:11.486, 36.02, 0, 0, 97887
1785252011.686546,2026/07/28 15:20:11.686, 36.02, 0, 0, 97887
1785252011.886636,2026/07/28 15:20:11.886, 36.02, 0, 0, 97887
1785252012.086711,2026/07/28 15:20:12.086, 35.79, 0, 0, 97887
1785252012.286910,2026/07/28 15:20:12.286, 35.79, 0, 0, 97887
1785252012.487067,2026/07/28 15:20:12.486, 35.79, 0, 0, 97887
1785252012.687100,2026/07/28 15:20:12.687, 35.79, 0, 0, 97887
1785252012.887189,2026/07/28 15:20:12.887, 35.79, 0, 0, 97887
1785252013.087273,2026/07/28 15:20:13.087, 35.54, 0, 0, 97887
1785252013.287374,2026/07/28 15:20:13.287, 35.54, 0, 0, 97887
1785252013.487455,2026/07/28 15:20:13.487, 35.54, 0, 0, 97887
1785252013.687532,2026/07/28 15:20:13.687, 35.54, 0, 0, 97887
1785252013.887630,2026/07/28 15:20:13.887, 35.54, 0, 0, 97887
1785252014.087721,2026/07/28 15:20:14.087, 35.54, 0, 0, 97887
1785252014.287797,2026/07/28 15:20:14.287, 35.54, 0, 0, 97887
1785252014.487886,2026/07/28 15:20:14.487, 35.54, 0, 0, 97887
1785252014.687971,2026/07/28 15:20:14.687, 35.54, 0, 0, 97887
1785252014.888060,2026/07/28 15:20:14.888, 35.54, 0, 0, 97887
1785252015.088154,2026/07/28 15:20:15.088, 35.54, 0, 0, 97887
1785252015.288236,2026/07/28 15:20:15.288, 35.54, 0, 0, 97887
1785252015.488325,2026/07/28 15:20:15.488, 35.54, 0, 0, 97887
1785252015.688420,2026/07/28 15:20:15.688, 35.54, 0, 0, 97887
1785252015.888538,2026/07/28 15:20:15.888, 35.54, 0, 0, 97887
1785252016.088737,2026/07/28 15:20:16.088, 35.54, 0, 0, 97887
1785252016.288816,2026/07/28 15:20:16.288, 35.54, 0, 0, 97887
1785252016.488895,2026/07/28 15:20:16.488, 35.54, 0, 0, 97887
1785252016.688986,2026/07/28 15:20:16.688, 35.54, 0, 0, 97887
1785252016.889080,2026/07/28 15:20:16.889, 35.54, 0, 0, 97887
1785252017.089151,2026/07/28 15:20:17.089, 35.52, 0, 0, 97887
1785252017.289262,2026/07/28 15:20:17.289, 35.52, 0, 0, 97887
1785252017.489354,2026/07/28 15:20:17.489, 35.52, 0, 0, 97887
1785252017.689454,2026/07/28 15:20:17.689, 35.52, 0, 0, 97887
1785252017.889540,2026/07/28 15:20:17.889, 35.52, 0, 0, 97887
