epoch,timestamp,power_w,utilization_gpu_pct,memory_used_mb,memory_total_mb
1785252210.483035,2026/07/28 15:23:30.476, 47.81, 0, 0, 97887
1785252210.683098,2026/07/28 15:23:30.683, 47.82, 0, 0, 97887
1785252210.883181,2026/07/28 15:23:30.883, 47.82, 0, 0, 97887
1785252211.083272,2026/07/28 15:23:31.083, 47.82, 0, 0, 97887
1785252211.283379,2026/07/28 15:23:31.283, 47.82, 0, 0, 97887
1785252211.483546,2026/07/28 15:23:31.483, 47.82, 0, 0, 97887
1785252211.683642,2026/07/28 15:23:31.683, 47.70, 0, 0, 97887
1785252211.883720,2026/07/28 15:23:31.883, 47.70, 0, 0, 97887
1785252212.083819,2026/07/28 15:23:32.083, 47.70, 0, 0, 97887
1785252212.283911,2026/07/28 15:23:32.283, 47.70, 0, 0, 97887
1785252212.483995,2026/07/28 15:23:32.483, 47.70, 0, 0, 97887
1785252212.684093,2026/07/28 15:23:32.684, 35.04, 0, 0, 97887
1785252212.884182,2026/07/28 15:23:32.884, 35.04, 0, 0, 97887
1785252213.084266,2026/07/28 15:23:33.084, 35.04, 0, 0, 97887
1785252213.284383,2026/07/28 15:23:33.284, 35.04, 0, 0, 97887
1785252213.484630,2026/07/28 15:23:33.484, 35.04, 0, 0, 97887
1785252213.684696,2026/07/28 15:23:33.684, 35.08, 0, 0, 97887
1785252213.884774,2026/07/28 15:23:33.884, 35.08, 0, 0, 97887
1785252214.084852,2026/07/28 15:23:34.084, 35.08, 0, 0, 97887
1785252214.284936,2026/07/28 15:23:34.284, 35.08, 0, 0, 97887
1785252214.485040,2026/07/28 15:23:34.484, 35.08, 0, 0, 97887
1785252214.685126,2026/07/28 15:23:34.685, 35.08, 0, 0, 97887
1785252214.885218,2026/07/28 15:23:34.885, 35.08, 0, 0, 97887
1785252215.085299,2026/07/28 15:23:35.085, 35.08, 0, 0, 97887
1785252215.285417,2026/07/28 15:23:35.285, 35.08, 0, 0, 97887
1785252215.485501,2026/07/28 15:23:35.485, 35.08, 0, 0, 97887
1785252215.685591,2026/07/28 15:23:35.685, 35.10, 0, 0, 97887
1785252215.885682,2026/07/28 15:23:35.885, 35.10, 0, 0, 97887
1785252216.085779,2026/07/28 15:23:36.085, 35.10, 0, 0, 97887
1785252216.285909,2026/07/28 15:23:36.285, 35.10, 0, 0, 97887
1785252216.485998,2026/07/28 15:23:36.485, 35.10, 0, 0, 97887
1785252216.686159,2026/07/28 15:23:36.686, 35.13, 0, 0, 97887
1785252216.886230,2026/07/28 15:23:36.886, 35.13, 0, 0, 97887
1785252217.086329,2026/07/28 15:23:37.086, 35.13, 0, 0, 97887
1785252217.286477,2026/07/28 15:23:37.286, 35.13, 0, 0, 97887
1785252217.486575,2026/07/28 15:23:37.486, 35.13, 0, 0, 97887
1785252217.686655,2026/07/28 15:23:37.686, 35.13, 0, 0, 97887
1785252217.886760,2026/07/28 15:23:37.886, 35.13, 0, 0, 97887
1785252218.086871,2026/07/28 15:23:38.086, 35.13, 0, 0, 97887
1785252218.286976,2026/07/28 15:23:38.286, 35.13, 0, 0, 97887
1785252218.487066,2026/07/28 15:23:38.487, 35.13, 0, 0, 97887
1785252218.687166,2026/07/28 15:23:38.687, 35.13, 0, 0, 97887
1785252218.887247,2026/07/28 15:23:38.887, 35.13, 0, 0, 97887
1785252219.087339,2026/07/28 15:23:39.087, 35.13, 0, 0, 97887
1785252219.287408,2026/07/28 15:23:39.287, 35.13, 0, 0, 97887
1785252219.487478,2026/07/28 15:23:39.487, 35.13, 0, 0, 97887
1785252219.688446,2026/07/28 15:23:39.687, 35.13, 0, 0, 97887
1785252219.888549,2026/07/28 15:23:39.888, 35.13, 0, 0, 97887
1785252220.088644,2026/07/28 15:23:40.088, 35.13, 0, 0, 97887
1785252220.288749,2026/07/28 15:23:40.288, 35.13, 0, 0, 97887
1785252220.488881,2026/07/28 15:23:40.488, 35.13, 0, 0, 97887
1785252220.688995,2026/07/28 15:23:40.688, 35.13, 0, 0, 97887
1785252220.889083,2026/07/28 15:23:40.889, 35.13, 0, 0, 97887
1785252221.089185,2026/07/28 15:23:41.089, 35.13, 0, 0, 97887
1785252221.289273,2026/07/28 15:23:41.289, 35.13, 0, 0, 97887
1785252221.489367,2026/07/28 15:23:41.489, 35.13, 0, 0, 97887
1785252221.689406,2026/07/28 15:23:41.689, 35.14, 0, 0, 97887
1785252221.889484,2026/07/28 15:23:41.889, 35.14, 0, 0, 97887
1785252222.089590,2026/07/28 15:23:42.089, 35.14, 0, 0, 97887
1785252222.289710,2026/07/28 15:23:42.289, 35.14, 0, 0, 97887
1785252222.489798,2026/07/28 15:23:42.489, 35.14, 0, 0, 97887
1785252222.689891,2026/07/28 15:23:42.689, 35.13, 0, 0, 97887
1785252222.889980,2026/07/28 15:23:42.889, 35.13, 0, 0, 97887
1785252223.090060,2026/07/28 15:23:43.090, 35.13, 0, 0, 97887
1785252223.290185,2026/07/28 15:23:43.290, 35.13, 0, 0, 97887
1785252223.490300,2026/07/28 15:23:43.490, 35.13, 0, 0, 97887
1785252223.690420,2026/07/28 15:23:43.690, 34.62, 0, 0, 97887
1785252223.890520,2026/07/28 15:23:43.890, 34.62, 0, 0, 97887
1785252224.090611,2026/07/28 15:23:44.090, 34.62, 0, 0, 97887
1785252224.290708,2026/07/28 15:23:44.290, 34.62, 0, 0, 97887
1785252224.490807,2026/07/28 15:23:44.490, 34.62, 0, 0, 97887
1785252224.690901,2026/07/28 15:23:44.690, 34.84, 0, 0, 97887
1785252224.891059,2026/07/28 15:23:44.890, 34.84, 0, 0, 97887
1785252225.092690,2026/07/28 15:23:45.091, 34.84, 0, 0, 97887
1785252225.292781,2026/07/28 15:23:45.292, 34.84, 0, 0, 97887
1785252225.492867,2026/07/28 15:23:45.492, 34.84, 0, 0, 97887
1785252225.692963,2026/07/28 15:23:45.692, 34.56, 0, 0, 97887
1785252225.893050,2026/07/28 15:23:45.893, 34.56, 0, 0, 97887
1785252226.093138,2026/07/28 15:23:46.093, 34.56, 0, 0, 97887
1785252226.293230,2026/07/28 15:23:46.293, 34.56, 0, 0, 97887
