epoch,timestamp,power_w,utilization_gpu_pct,memory_used_mb,memory_total_mb
1785252994.732710,2026/07/28 15:36:34.726, 35.18, 0, 0, 97887
1785252994.932914,2026/07/28 15:36:34.932, 35.18, 0, 0, 97887
1785252995.133004,2026/07/28 15:36:35.132, 35.42, 0, 0, 97887
1785252995.333144,2026/07/28 15:36:35.333, 35.42, 0, 0, 97887
1785252995.533246,2026/07/28 15:36:35.533, 35.42, 0, 0, 97887
1785252995.733439,2026/07/28 15:36:35.733, 35.42, 0, 0, 97887
1785252995.933543,2026/07/28 15:36:35.933, 35.42, 0, 0, 97887
1785252996.133657,2026/07/28 15:36:36.133, 35.41, 0, 0, 97887
1785252996.333749,2026/07/28 15:36:36.333, 35.41, 0, 0, 97887
1785252996.533971,2026/07/28 15:36:36.533, 35.41, 0, 0, 97887
1785252996.734130,2026/07/28 15:36:36.734, 35.41, 0, 0, 97887
1785252996.934299,2026/07/28 15:36:36.934, 35.41, 0, 0, 97887
1785252997.134501,2026/07/28 15:36:37.134, 35.14, 0, 0, 97887
1785252997.334578,2026/07/28 15:36:37.334, 35.14, 0, 0, 97887
1785252997.534689,2026/07/28 15:36:37.534, 35.14, 0, 0, 97887
1785252997.734800,2026/07/28 15:36:37.734, 35.14, 0, 0, 97887
1785252997.934911,2026/07/28 15:36:37.934, 35.14, 0, 0, 97887
1785252998.135026,2026/07/28 15:36:38.134, 35.61, 0, 0, 97887
1785252998.335148,2026/07/28 15:36:38.335, 35.61, 0, 0, 97887
1785252998.535260,2026/07/28 15:36:38.535, 35.61, 0, 0, 97887
1785252998.735366,2026/07/28 15:36:38.735, 35.61, 0, 0, 97887
1785252998.935449,2026/07/28 15:36:38.935, 35.61, 0, 0, 97887
1785252999.135667,2026/07/28 15:36:39.135, 35.17, 0, 0, 97887
1785252999.335836,2026/07/28 15:36:39.335, 35.17, 0, 0, 97887
1785252999.535996,2026/07/28 15:36:39.535, 35.17, 0, 0, 97887
1785252999.736095,2026/07/28 15:36:39.736, 35.17, 0, 0, 97887
1785252999.936197,2026/07/28 15:36:39.936, 35.17, 0, 0, 97887
1785253000.136309,2026/07/28 15:36:40.136, 35.16, 0, 0, 97887
1785253000.336421,2026/07/28 15:36:40.336, 35.16, 0, 0, 97887
1785253000.536520,2026/07/28 15:36:40.536, 35.16, 0, 0, 97887
1785253000.736624,2026/07/28 15:36:40.736, 35.16, 0, 0, 97887
1785253000.936719,2026/07/28 15:36:40.936, 35.16, 0, 0, 97887
1785253001.136817,2026/07/28 15:36:41.136, 35.15, 0, 0, 97887
1785253001.336929,2026/07/28 15:36:41.336, 35.15, 0, 0, 97887
1785253001.537031,2026/07/28 15:36:41.536, 35.15, 0, 0, 97887
1785253001.737136,2026/07/28 15:36:41.737, 35.15, 0, 0, 97887
1785253001.937247,2026/07/28 15:36:41.937, 35.15, 0, 0, 97887
1785253002.137387,2026/07/28 15:36:42.137, 35.16, 0, 0, 97887
1785253002.337468,2026/07/28 15:36:42.337, 35.16, 0, 0, 97887
1785253002.537577,2026/07/28 15:36:42.537, 35.16, 0, 0, 97887
1785253002.737681,2026/07/28 15:36:42.737, 35.16, 0, 0, 97887
1785253002.937792,2026/07/28 15:36:42.937, 35.16, 0, 0, 97887
1785253003.137889,2026/07/28 15:36:43.137, 35.10, 0, 0, 97887
1785253003.337981,2026/07/28 15:36:43.337, 35.10, 0, 0, 97887
1785253003.538351,2026/07/28 15:36:43.538, 35.10, 0, 0, 97887
1785253003.738446,2026/07/28 15:36:43.738, 35.10, 0, 0, 97887
