accuracy,codecarbon_emissions_kgco2e,codecarbon_energy_kwh,dense_avoidance_rate,energy_reduction_vs_dense,mean_call_window_gpu_energy_joule,mean_latency_ms,mean_visual_tokens,model,n,nvidia_wrapper_duration_h,nvidia_wrapper_energy_kwh,peak_gpu_memory_mb,seed,supported_correct_rate,system,unsafe_acceptance_count,unsafe_acceptance_rate
0.7095238095238096,0.00020162279221439862,0.00616374980480192,0.0,0.0,37.16323344695,118.24285576758918,576.0,7b,210,0.024150995016098024,0.003218244449639512,15999.0,2101,,dense,,0.0
0.7095238095238096,0.00014832777312361148,0.004327242867527619,0.6476190476190476,0.032825024601841335,35.943349394769896,107.20073042327948,481.9047619047619,7b,210,0.01421866966618432,0.002713530909103052,20775.0,2101,0.5190476190476191,fastv,1,0.004761904761904762
0.7142857142857143,0.00018240474673027017,0.005560894630825936,0.34285714285714286,0.16803585390062314,30.91847778098356,110.71898209962195,487.23809523809524,7b,210,0.02267229371600681,0.0030663982733358294,15779.0,2101,0.5142857142857142,scope,3,0.014285714285714285
0.7095238095238096,0.0002162792508392133,0.0067349141886637485,0.5761904761904761,0.04665839437314623,35.42925664460091,107.43808238060281,434.3619047619048,7b,210,0.028802059822612337,0.0033651743996108,16001.0,2101,0.5095238095238095,random,4,0.01904761904761905
0.7476190476190476,0.0003401527040799583,0.011268868228178342,0.0,0.0,69.05154869128977,181.19589646202735,576.0,13b,210,0.041750423577096726,0.00636803554412615,28339.0,2101,,dense,,0.0
0.7428571428571429,0.0003546055395312485,0.01174096722746771,0.7619047619047619,0.0034455059663820453,68.81363116828601,186.0980415708452,436.1142857142857,13b,210,0.045205527742703755,0.006552541801655373,33967.0,2101,0.5476190476190477,fastv,4,0.01904761904761905
0.7476190476190476,0.0003083153436302465,0.010098990909540879,0.5,0.12860599233918069,60.1711057492892,181.74807120535877,470.7047619047619,13b,210,0.03855070140626696,0.005693691049911606,28499.0,2101,0.5523809523809524,scope,4,0.01904761904761905
0.7476190476190476,0.0003787122855034188,0.012677697081022227,0.5095238095238095,0.022242895837122467,67.51564228635742,186.31848380034734,502.62857142857143,13b,210,0.05098556538422903,0.006774881863682576,28341.0,2101,0.5571428571428572,random,1,0.004761904761904762
0.6285714285714286,0.0002025333563790751,0.006313088614004102,0.0,0.0,33.99909290938718,114.94122489966685,576.0,7b,210,0.026885222130351598,0.0031176909028060025,15639.0,2102,,dense,,0.0
0.6285714285714286,0.0001461608951297031,0.00416467008916867,0.580952380952381,-0.08668781890875432,36.94640011857805,99.18702195697863,492.34285714285716,7b,210,0.013499839703241983,0.0028914128896580966,18483.0,2102,0.42857142857142855,fastv,1,0.004761904761904762
0.6285714285714286,0.00018942239377144746,0.005834945891438578,0.3380952380952381,0.015722648172880604,33.464537133375806,109.59941821978039,487.9238095238095,7b,210,0.025291369491153293,0.003077608923026127,15681.0,2102,0.4380952380952381,scope,0,0.0
0.6285714285714286,0.00025007443445170994,0.008035393286340132,0.5285714285714286,-0.21949813668112528,41.461830451846126,114.36270183836487,441.2190476190476,7b,210,0.03686366134219699,0.004159776723750281,15641.0,2102,0.4238095238095238,random,4,0.01904761904761905
0.719047619047619,0.000349656449758906,0.011629309113914894,0.0,0.0,61.50920317681631,167.92617412838376,576.0,13b,210,0.04620868378215366,0.00641930979495561,28357.0,2102,,dense,,0.0
0.7238095238095238,0.00034999790112086787,0.011635394199567528,0.7952380952380952,-0.07300799639356348,65.99986686052027,170.2560189999834,428.8,13b,210,0.04658691498968336,0.0063521408689472016,31599.0,2102,0.5238095238095238,fastv,7,0.03333333333333333
0.7142857142857143,0.0003019025923891615,0.009884497683090278,0.5,0.04056883720287141,59.013846326657706,166.70149942399888,470.7047619047619,13b,210,0.03782624344031016,0.005449809080519617,28389.0,2102,0.5142857142857142,scope,3,0.014285714285714285
0.719047619047619,0.0003696457039460698,0.01234984479679425,0.5190476190476191,-0.140619670393477,70.15860705370562,219.43221085689618,501.25714285714287,13b,210,0.04880837910705142,0.0068762023639158286,28359.0,2102,0.5190476190476191,random,3,0.014285714285714285
0.6571428571428571,0.00022774672669535152,0.007228706408152108,0.0,0.0,37.26794491808755,104.39128489545381,576.0,7b,210,0.03190148565504286,0.0037227816612160026,15455.0,2103,,dense,,0.0
0.6571428571428571,0.00014540151621726788,0.004207434077086335,0.6095238095238096,-0.044111501496565175,38.91188992611568,99.46579295272906,488.22857142857146,7b,210,0.013764312002393935,0.002995679849540696,18295.0,2103,0.4666666666666667,fastv,3,0.014285714285714285
0.6523809523809524,0.0001808968433212048,0.005523897332197434,0.3380952380952381,0.16349057891561503,31.174987028434163,104.81462284265685,487.9238095238095,7b,210,0.023492197394371032,0.002776130724686891,15467.0,2103,0.47619047619047616,scope,1,0.004761904761904762
