accuracy,accuracy_per_billion_parameters,cloud_cost_usd_per_1000_queries_runtime_proxy,correct_answers_per_kgco2e,correct_answers_per_kwh,dense_avoidance_rate,estimated_gco2e_per_1000_queries,estimated_kgco2e_per_query,mean_gpu_energy_joule,mean_latency_ms,model,model_scale,n,parameters,pareto_accuracy_vs_mean_gpu_energy_joule,pareto_accuracy_vs_mean_latency_ms,pareto_accuracy_vs_peak_gpu_memory_mb,pareto_supported_correct_rate_vs_mean_gpu_energy_joule,pareto_supported_correct_rate_vs_mean_latency_ms,pareto_supported_correct_rate_vs_peak_gpu_memory_mb,peak_gpu_memory_mb,pooled_energy_reduction,population,strong_green_replication,supported_correct_answers_per_kwh,supported_correct_rate,system,throughput_queries_per_second,unsafe_acceptance_rate
0.665079365079365,0.09501133786848072,0.05663954543203466,1630785.8263333149,64246.43841422727,0.6126984126984127,0.40782753586639897,4.0782753586639895e-07,37.267213146487876,101.95118177766238,LLaVA-1.5-7B,7b,630,7000000000,False,True,False,False,True,False,20775.0,-0.031092499589033817,replication_630,False,45539.838207698085,0.4714285714285714,fastv,9.808616070589787,0.007936507936507936
0.665079365079365,0.09501133786848072,0.06020981910408504,1907998.5480217019,75167.51079786295,0.33968253968253964,0.34857435597576797,3.4857435597576795e-07,31.85266731426451,108.37767438735307,LLaVA-1.5-7B,7b,630,7000000000,True,False,True,True,True,True,15779.0,0.11871472034827757,replication_630,True,53819.22014166798,0.47619047619047616,scope,9.226992603900099,0.006349206349206349
0.6634920634920635,0.0947845804988662,0.06164386529976734,1583057.6028474406,62366.13732177777,0.5555555555555555,0.41912060704464726,4.1912060704464725e-07,38.29917213323003,110.95895753958122,LLaVA-1.5-7B,7b,630,7000000000,False,False,False,False,False,False,16001.0,-0.05964427690951246,replication_630,False,43566.77535396916,0.4634920634920635,random,9.012341339303594,0.025396825396825397
0.7285714285714285,0.05604395604395604,0.09817488614972383,997249.5025855771,39287.641403861395,0.7777777777777777,0.7305808894188017,7.305808894188017e-07,66.7603615064394,176.7147950695029,LLaVA-1.5-13B,13b,630,13000000000,False,False,False,False,False,False,33967.0,-0.013518974265521067,replication_630,False,29358.73856541276,0.5444444444444444,fastv,5.6588357506042115,0.025396825396825397
0.7285714285714285,0.05604395604395604,0.09545122747979562,1130823.4144213423,44549.9192345432,0.5,0.6442839963163023,6.442839963163023e-07,58.87456560916561,171.81220946363212,LLaVA-1.5-13B,13b,630,13000000000,True,True,False,True,True,False,28499.0,0.10619882816581072,replication_630,True,33291.11611644514,0.5444444444444444,scope,5.820308132476885,0.012698412698412698
0.7317460317460317,0.05628815628815628,0.1069347186851266,976801.2725741464,38482.062934331065,0.5222222222222223,0.7491247731666799,7.491247731666799e-07,68.45489855315382,192.4824936332279,LLaVA-1.5-13B,13b,630,13000000000,True,True,True,False,False,True,28359.0,-0.03924450077087527,replication_630,False,28631.99042619426,0.5444444444444444,random,5.195277664604049,0.014285714285714285
