accuracy,accuracy_per_billion_parameters,cloud_cost_usd_per_1000_queries_runtime_proxy,correct_answers_per_kgco2e,correct_answers_per_kwh,estimated_gco2e_per_1000_queries,estimated_kgco2e_per_query,mean_gpu_energy_joule,mean_latency_ms,model,model_scale,n,parameters,pareto_accuracy_vs_mean_gpu_energy_joule,pareto_accuracy_vs_mean_latency_ms,pareto_accuracy_vs_peak_gpu_memory_mb,peak_gpu_memory_mb,population,scope_note,supported_correct_answers_per_kwh,supported_correct_rate,system,throughput_queries_per_second
0.6583333333333333,1.3166666666666667,0.23859549146371944,907740.3586061668,35761.33916764854,0.7252440933046126,7.252440933046126e-07,66.27268595534079,429.471884634695,SmolVLM-500M-Instruct,500m,1200,500000000,False,False,True,2918.0,common_development_1200,Dense SLM verification; complete inference with disclosed post-inference analysis failure.,,,dense,2.3284411291570137
0.665,0.095,0.06813738014962938,1660911.556995761,65433.27169940499,0.40038254728195455,4.003825472819545e-07,36.586891314220644,122.64728426933289,LLaVA-1.5-7B,7b,1200,7000000000,True,True,True,20422.0,common_development_1200,,,,dense,8.153462230798397
0.74,0.05692307692307692,0.10044570686640562,1019497.2818202402,40164.11491459018,0.7258479381904602,7.258479381904603e-07,66.3278652016869,180.80227235953012,LLaVA-1.5-13B,13b,1200,13000000000,True,True,True,40278.0,common_development_1200,,,,dense,5.53090393693434
