epoch,timestamp,power_w,utilization_gpu_pct,memory_used_mb,memory_total_mb
1785251944.834674,2026/07/28 15:19:04.829, 47.64, 0, 0, 97887
1785251945.034720,2026/07/28 15:19:05.034, 47.64, 0, 0, 97887
1785251945.234821,2026/07/28 15:19:05.234, 47.64, 0, 0, 97887
1785251945.434910,2026/07/28 15:19:05.434, 47.67, 0, 0, 97887
1785251945.635010,2026/07/28 15:19:05.634, 47.67, 0, 0, 97887
1785251945.835193,2026/07/28 15:19:05.835, 47.67, 0, 0, 97887
1785251946.035343,2026/07/28 15:19:06.035, 47.67, 0, 0, 97887
1785251946.235513,2026/07/28 15:19:06.235, 47.67, 0, 0, 97887
1785251946.435651,2026/07/28 15:19:06.435, 47.61, 0, 0, 97887
1785251946.635693,2026/07/28 15:19:06.635, 47.61, 0, 0, 97887
1785251946.835770,2026/07/28 15:19:06.835, 47.61, 0, 0, 97887
1785251947.035861,2026/07/28 15:19:07.035, 47.61, 0, 0, 97887
1785251947.235957,2026/07/28 15:19:07.235, 47.61, 0, 0, 97887
1785251947.436047,2026/07/28 15:19:07.436, 47.58, 0, 0, 97887
1785251947.636157,2026/07/28 15:19:07.636, 47.58, 0, 0, 97887
1785251947.836245,2026/07/28 15:19:07.836, 47.58, 0, 0, 97887
1785251948.036347,2026/07/28 15:19:08.036, 47.58, 0, 0, 97887
1785251948.236472,2026/07/28 15:19:08.236, 47.58, 0, 0, 97887
1785251948.436584,2026/07/28 15:19:08.436, 35.64, 0, 0, 97887
1785251948.636670,2026/07/28 15:19:08.636, 35.64, 0, 0, 97887
1785251948.836781,2026/07/28 15:19:08.836, 35.64, 0, 0, 97887
1785251949.036870,2026/07/28 15:19:09.036, 35.64, 0, 0, 97887
1785251949.236965,2026/07/28 15:19:09.236, 35.64, 0, 0, 97887
1785251949.437060,2026/07/28 15:19:09.437, 35.37, 0, 0, 97887
1785251949.637148,2026/07/28 15:19:09.637, 35.37, 0, 0, 97887
1785251949.837241,2026/07/28 15:19:09.837, 35.37, 0, 0, 97887
1785251950.037330,2026/07/28 15:19:10.037, 35.37, 0, 0, 97887
1785251950.237431,2026/07/28 15:19:10.237, 35.37, 0, 0, 97887
1785251950.437520,2026/07/28 15:19:10.437, 35.11, 0, 0, 97887
1785251950.637613,2026/07/28 15:19:10.637, 35.11, 0, 0, 97887
1785251950.837715,2026/07/28 15:19:10.837, 35.11, 0, 0, 97887
1785251951.037789,2026/07/28 15:19:11.037, 35.11, 0, 0, 97887
1785251951.237883,2026/07/28 15:19:11.237, 35.11, 0, 0, 97887
1785251951.437970,2026/07/28 15:19:11.437, 35.07, 0, 0, 97887
1785251951.638057,2026/07/28 15:19:11.638, 35.07, 0, 0, 97887
1785251951.838233,2026/07/28 15:19:11.838, 35.07, 0, 0, 97887
1785251952.038295,2026/07/28 15:19:12.038, 35.07, 0, 0, 97887
1785251952.238405,2026/07/28 15:19:12.238, 35.07, 0, 0, 97887
1785251952.438512,2026/07/28 15:19:12.438, 35.06, 0, 0, 97887
1785251952.638584,2026/07/28 15:19:12.638, 35.06, 0, 0, 97887
1785251952.838668,2026/07/28 15:19:12.838, 35.06, 0, 0, 97887
1785251953.038757,2026/07/28 15:19:13.038, 35.06, 0, 0, 97887
1785251953.238840,2026/07/28 15:19:13.238, 35.06, 0, 0, 97887
1785251953.438961,2026/07/28 15:19:13.438, 35.06, 0, 0, 97887
1785251953.639056,2026/07/28 15:19:13.639, 35.06, 0, 0, 97887
1785251953.839150,2026/07/28 15:19:13.839, 35.06, 0, 0, 97887
1785251954.039240,2026/07/28 15:19:14.039, 35.06, 0, 0, 97887
1785251954.239518,2026/07/28 15:19:14.239, 35.06, 0, 0, 97887
1785251954.439610,2026/07/28 15:19:14.439, 35.13, 0, 0, 97887
1785251954.639694,2026/07/28 15:19:14.639, 35.13, 0, 0, 97887
1785251954.839772,2026/07/28 15:19:14.839, 35.13, 0, 0, 97887
1785251955.076483,2026/07/28 15:19:15.039, 35.13, 0, 1, 97887
1785251955.276640,2026/07/28 15:19:15.276, 35.34, 0, 3, 97887
1785251955.476821,2026/07/28 15:19:15.476, 35.49, 0, 3, 97887
1785251955.676927,2026/07/28 15:19:15.676, 35.40, 0, 3, 97887
1785251955.877139,2026/07/28 15:19:15.876, 35.36, 0, 3, 97887
1785251956.077219,2026/07/28 15:19:16.077, 35.33, 0, 3, 97887
1785251956.277310,2026/07/28 15:19:16.277, 35.32, 0, 3, 97887
1785251956.477399,2026/07/28 15:19:16.477, 35.32, 0, 3, 97887
1785251956.677485,2026/07/28 15:19:16.677, 35.32, 0, 3, 97887
1785251956.877576,2026/07/28 15:19:16.877, 35.32, 0, 3, 97887
1785251957.077661,2026/07/28 15:19:17.077, 35.32, 0, 3, 97887
1785251957.277747,2026/07/28 15:19:17.277, 34.67, 0, 3, 97887
1785251957.477836,2026/07/28 15:19:17.477, 34.67, 0, 3, 97887
1785251957.677919,2026/07/28 15:19:17.677, 34.67, 0, 3, 97887
1785251957.878006,2026/07/28 15:19:17.877, 34.67, 0, 3, 97887
1785251958.078089,2026/07/28 15:19:18.078, 34.67, 0, 3, 97887
1785251958.278177,2026/07/28 15:19:18.278, 34.64, 0, 3, 97887
1785251958.478269,2026/07/28 15:19:18.478, 34.64, 0, 3, 97887
1785251958.678378,2026/07/28 15:19:18.678, 34.64, 0, 3, 97887
1785251958.878449,2026/07/28 15:19:18.878, 34.64, 0, 3, 97887
1785251959.078536,2026/07/28 15:19:19.078, 34.64, 0, 3, 97887
1785251959.278704,2026/07/28 15:19:19.278, 34.65, 0, 3, 97887
1785251959.478751,2026/07/28 15:19:19.478, 34.65, 0, 3, 97887
1785251959.678842,2026/07/28 15:19:19.678, 34.65, 0, 3, 97887
1785251959.878931,2026/07/28 15:19:19.878, 34.65, 0, 3, 97887
1785251960.079030,2026/07/28 15:19:20.078, 34.65, 0, 3, 97887
1785251960.279118,2026/07/28 15:19:20.279, 34.85, 0, 3, 97887
1785251960.479201,2026/07/28 15:19:20.479, 34.85, 0, 3, 97887
1785251960.679292,2026/07/28 15:19:20.679, 34.85, 0, 3, 97887
1785251960.879407,2026/07/28 15:19:20.879, 34.85, 0, 3, 97887
1785251961.079493,2026/07/28 15:19:21.079, 34.85, 0, 3, 97887
1785251961.279588,2026/07/28 15:19:21.279, 34.65, 0, 3, 97887
1785251961.479681,2026/07/28 15:19:21.479, 34.65, 0, 3, 97887
1785251961.679769,2026/07/28 15:19:21.679, 34.65, 0, 3, 97887
1785251961.880842,2026/07/28 15:19:21.879, 34.65, 0, 3, 97887
1785251962.080927,2026/07/28 15:19:22.080, 34.65, 0, 3, 97887
1785251962.281009,2026/07/28 15:19:22.280, 34.65, 0, 3, 97887
1785251962.481094,2026/07/28 15:19:22.481, 34.65, 0, 3, 97887
1785251962.681183,2026/07/28 15:19:22.681, 34.65, 0, 3, 97887
1785251962.881272,2026/07/28 15:19:22.881, 46.86, 0, 561, 97887
1785251963.081366,2026/07/28 15:19:23.081, 50.79, 1, 561, 97887
1785251963.281450,2026/07/28 15:19:23.281, 71.54, 0, 561, 97887
1785251963.481653,2026/07/28 15:19:23.481, 73.44, 0, 561, 97887
1785251963.681709,2026/07/28 15:19:23.681, 74.88, 0, 561, 97887
1785251963.881935,2026/07/28 15:19:23.881, 84.70, 0, 561, 97887
1785251964.082022,2026/07/28 15:19:24.081, 84.70, 0, 561, 97887
1785251964.282110,2026/07/28 15:19:24.282, 84.70, 0, 561, 97887
1785251964.482198,2026/07/28 15:19:24.482, 84.70, 0, 561, 97887
1785251964.682389,2026/07/28 15:19:24.682, 84.70, 0, 561, 97887
1785251964.882426,2026/07/28 15:19:24.882, 83.22, 0, 561, 97887
1785251965.082646,2026/07/28 15:19:25.082, 83.22, 0, 1497, 97887
1785251965.282781,2026/07/28 15:19:25.282, 84.54, 47, 6043, 97887
1785251965.482849,2026/07/28 15:19:25.482, 85.74, 45, 10075, 97887
1785251965.682935,2026/07/28 15:19:25.682, 85.71, 36, 10075, 97887
