model,method,n,dense_avoidance_rate,selected_budget_distribution,mean_selected_visual_tokens,token_reduction_vs_dense,unsafe_acceptance_rate_full,unsafe_acceptance_95pct_ci,unsafe_acceptance_count,prospective_risk_limit_met_point_estimate,prospective_risk_limit_met_95pct_upper,unconditional_accuracy,unconditional_accuracy_95pct_ci,supported_correct_rate_full,supported_correct_95pct_ci,mean_call_window_gpu_energy_joule,mean_dense_call_window_gpu_energy_joule,energy_reduction_vs_dense,energy_reduction_bootstrap_95pct_ci,mean_model_latency_ms,mean_dense_latency_ms,correct_answers_per_kwh,supported_correct_answers_per_kwh,complete_inference_block_gpu_energy_joule_per_query,execution_resumed_from_count,mean_controller_cpu_latency_ms
7b,fastv,900,0.6344444444444445,"{""256"": 1, ""432"": 570, ""dense"": 329}",484.44444444444446,0.15895061728395055,0.017777777777777778,"[0.010972044794827789, 0.028682541162602194]",16,True,True,0.6366666666666667,"[0.6047251567656826, 0.6674464697947693]",0.5044444444444445,"[0.47183026251613647, 0.5370208472907075]",37.23095737742451,37.44834570955462,0.005805018299503861,"[-0.04355990289963052, 0.05685358304277244]",114.09270668195353,127.33335839377509,61561.67236757078,48776.613010256784,39.34318811032906,0,0.021643547548188105
7b,scope,900,0.3433333333333333,"{""256"": 200, ""432"": 109, ""dense"": 591}",487.4488888888889,0.15373456790123452,0.016666666666666666,"[0.01012584319543478, 0.027315965310284206]",15,True,True,0.6411111111111111,"[0.6092341243278153, 0.6717886120394804]",0.5077777777777778,"[0.4751520736337951, 0.5403373685281818]",32.815774568882254,35.364210642707306,0.07206257477573819,"[-0.012659344154136276, 0.17891563671829347]",119.9904530743758,132.01408704121908,70332.02873683117,55704.91704112971,,80,0.031540395898951426
7b,random,900,0.5633333333333334,"{""256"": 300, ""432"": 207, ""dense"": 393}",436.2133333333333,0.24268518518518523,0.034444444444444444,"[0.024370462038325047, 0.04847578569476978]",31,True,True,0.6266666666666667,"[0.5945904761689035, 0.6576661533261495]",0.4911111111111111,"[0.4585574450624173, 0.5237403353238946]",36.73051178561846,37.44834570955462,0.019168641774021333,"[-0.03425960317578047, 0.07472964327369735]",119.00149728275008,127.33335839377509,61420.32578166577,48134.36878634091,40.0334913613982,0,0.024529674814807043
13b,fastv,900,0.7755555555555556,"{""256"": 165, ""432"": 533, ""dense"": 202}",432.05333333333334,0.24990740740740736,0.025555555555555557,"[0.017088443452951428, 0.038055584666455484]",23,True,True,0.7255555555555555,"[0.6954897274490893, 0.7537040952482418]",0.5866666666666667,"[0.5541930401009306, 0.6184036011325266]",66.7036783733262,68.73680735630118,0.029578461106523957,"[0.003048960591401473, 0.057388960945262135]",176.21875427042445,181.65765841801962,39158.26028935309,31662.42179598535,72.0334009868597,0,0.013576058877838982
13b,scope,900,0.5,"{""128"": 100, ""432"": 350, ""dense"": 450}",470.22222222222223,0.183641975308642,0.028888888888888888,"[0.0197896419991081, 0.04199271847543178]",26,True,True,0.7222222222222222,"[0.6920622538989134, 0.7504932364432846]",0.5755555555555556,"[0.5430105720756586, 0.6074582946406888]",55.43685755051639,63.942884290578604,0.13302538405067688,"[0.09322751627370407, 0.18168255719011261]",175.69679597392678,192.04138570361667,46900.205294478874,37375.85591160009,,750,0.01979098551803165
13b,random,900,0.5177777777777778,"{""432"": 466, ""dense"": 434}",501.44,0.12944444444444447,0.02,"[0.012687810635587127, 0.03139233022526484]",18,True,True,0.7233333333333334,"[0.6932045213573925, 0.7515637464365166]",0.5833333333333334,"[0.5508365469320695, 0.6151217619462548]",67.89705204318233,68.73680735630118,0.012216967086730368,"[-0.030668635864059768, 0.05231749213505377]",250.77776072339879,181.65765841801962,38352.180568073316,30929.177877478483,83.1830430959357,0,0.013642598771386676
