model,method,sample_id,dataset,selected_budget,task_correct,unsafe_acceptance,supported_correct,gpu_energy_joule,latency_ms
7b,fastv,mmstar_000011,mmstar,dense,False,False,False,20.558292597532276,101.59212164580822
7b,fastv,mmstar_000012,mmstar,dense,False,False,False,22.95869495034218,99.10669177770615
7b,fastv,mmstar_000028,mmstar,dense,True,False,False,63.554998122453696,236.67760379612446
7b,fastv,mmstar_000031,mmstar,dense,True,False,True,28.08474695682526,94.71225179731846
7b,fastv,mmstar_000037,mmstar,dense,True,False,False,33.33462489843369,97.2567331045866
7b,fastv,mmstar_000043,mmstar,dense,True,False,False,74.39287815332412,208.20150338113308
7b,fastv,mmstar_000049,mmstar,432,True,False,False,63.80748295068741,176.80490016937256
7b,fastv,mmstar_000054,mmstar,dense,False,False,False,59.5408802139759,168.6253286898136
7b,fastv,mmstar_000068,mmstar,dense,True,False,True,33.44777311921119,95.67124955356121
7b,fastv,mmstar_000089,mmstar,dense,True,False,False,60.25475304007531,170.59642262756824
7b,fastv,mmstar_000091,mmstar,dense,True,False,False,41.67632768034936,118.13662573695183
7b,fastv,mmstar_000092,mmstar,dense,True,False,False,32.438517600297935,92.11409464478493
7b,fastv,mmstar_000094,mmstar,dense,True,False,True,35.11883293867111,101.01605020463467
7b,fastv,mmstar_000103,mmstar,dense,True,False,True,33.09232448577881,95.53738124668598
7b,fastv,mmstar_000105,mmstar,dense,False,False,False,32.40441615343094,90.77325463294983
7b,fastv,mmstar_000113,mmstar,432,False,False,False,35.54095494747162,98.81246276199818
7b,fastv,mmstar_000124,mmstar,dense,False,False,False,46.850089719295504,124.85570274293423
7b,fastv,mmstar_000131,mmstar,dense,True,False,True,35.78854526042939,94.56588141620159
7b,fastv,mmstar_000139,mmstar,dense,True,False,True,36.06556326031685,95.07130458950996
7b,fastv,mmstar_000154,mmstar,432,False,False,False,35.54110407233238,93.6642549932003
7b,fastv,mmstar_000155,mmstar,dense,True,False,True,35.594222495555876,93.6626736074686
7b,fastv,mmstar_000157,mmstar,432,False,False,False,35.484563335180276,93.34606118500233
7b,fastv,mmstar_000160,mmstar,dense,True,False,True,37.36980180263519,96.6770239174366
7b,fastv,mmstar_000163,mmstar,dense,True,False,True,35.39401707172394,91.53912775218487
7b,fastv,mmstar_000166,mmstar,432,True,False,False,36.90655981421471,95.47585994005203
7b,fastv,mmstar_000167,mmstar,432,True,False,False,36.52588760375977,94.49314884841442
7b,fastv,mmstar_000174,mmstar,432,True,False,True,35.07907681107521,91.41348674893379
7b,fastv,mmstar_000183,mmstar,dense,True,False,True,34.824490547180176,90.838722884655
7b,fastv,mmstar_000184,mmstar,432,True,False,False,40.8110927438736,106.89908266067505
7b,fastv,mmstar_000187,mmstar,dense,True,False,False,34.70102667331696,90.99692478775978
7b,fastv,mmstar_000192,mmstar,dense,True,False,False,35.28734369754792,92.62399561703205
7b,fastv,mmstar_000193,mmstar,dense,True,False,True,35.07037352800369,92.06728264689445
7b,fastv,mmstar_000196,mmstar,dense,True,False,True,35.03880567312241,92.00277365744114
7b,fastv,mmstar_000197,mmstar,432,False,False,False,37.91155801653862,99.53495860099792
7b,fastv,mmstar_000205,mmstar,dense,False,False,False,75.1529363489151,195.55172882974148
7b,fastv,mmstar_000207,mmstar,432,True,False,False,36.06099554657936,93.2868029922247
7b,fastv,mmstar_000219,mmstar,dense,True,False,True,35.88932623147964,92.76575967669487
7b,fastv,mmstar_000243,mmstar,dense,True,False,False,89.7891760790348,233.06742869317532
7b,fastv,mmstar_000244,mmstar,dense,True,False,True,46.31620319366455,120.53125165402889
7b,fastv,mmstar_000248,mmstar,dense,True,False,True,34.519466438293456,89.96202610433102
7b,fastv,mmstar_000254,mmstar,432,False,False,False,36.2768989443779,94.91320140659809
7b,fastv,mmstar_000257,mmstar,432,True,False,False,39.49902712583542,103.74866798520088
7b,fastv,mmstar_000267,mmstar,432,True,False,True,35.154975342750554,93.01779791712761
7b,fastv,mmstar_000270,mmstar,dense,True,False,True,117.64203627347946,337.71831542253494
7b,fastv,mmstar_000274,mmstar,432,False,False,False,29.026329228878026,92.14788302779198
7b,fastv,mmstar_000275,mmstar,dense,False,False,False,53.252665097713475,172.97093011438847
7b,fastv,mmstar_000283,mmstar,432,False,False,False,31.243789969682695,101.15516744554043
7b,fastv,mmstar_000284,mmstar,432,True,False,False,45.68093360185623,146.97658829391003
7b,fastv,mmstar_000291,mmstar,dense,False,False,False,30.08419993400574,98.14429841935635
7b,fastv,mmstar_000311,mmstar,dense,False,False,False,28.974411081075672,94.35693174600601
7b,fastv,mmstar_000313,mmstar,432,False,False,False,30.393135806322096,93.16646307706833
7b,fastv,mmstar_000320,mmstar,432,False,False,False,31.82010507464409,97.44248166680336
7b,fastv,mmstar_000324,mmstar,432,False,False,False,35.99164481520653,98.99028390645981
7b,fastv,mmstar_000325,mmstar,432,True,False,True,33.8167668735981,92.98500046133995
7b,fastv,mmstar_000335,mmstar,432,False,False,False,34.16304302215576,91.49305708706379
7b,fastv,mmstar_000344,mmstar,dense,False,False,False,34.72196888923645,93.02538074553013
7b,fastv,mmstar_000354,mmstar,dense,True,False,False,39.456987242698666,105.77291622757912
7b,fastv,mmstar_000360,mmstar,432,True,False,False,35.09146201610565,94.00824829936028
7b,fastv,mmstar_000366,mmstar,432,False,False,False,36.51820725440979,96.47741541266441
7b,fastv,mmstar_000367,mmstar,432,False,False,False,50.73021141290665,134.57616791129112
7b,fastv,mmstar_000369,mmstar,dense,False,False,False,38.0946268415451,101.9300539046526
7b,fastv,mmstar_000370,mmstar,dense,True,False,True,37.26890926837921,101.12837702035904
7b,fastv,mmstar_000375,mmstar,432,True,False,True,36.2899104309082,99.67478737235069
7b,fastv,mmstar_000379,mmstar,dense,False,False,False,32.94059336543083,91.64968691766262
7b,fastv,mmstar_000384,mmstar,432,False,False,False,32.40089266061783,90.69161303341389
7b,fastv,mmstar_000386,mmstar,432,False,True,False,32.26934315443039,90.88137373328209
7b,fastv,mmstar_000397,mmstar,432,False,True,False,34.30837395787239,96.87180817127228
7b,fastv,mmstar_000400,mmstar,dense,False,False,False,33.21628097891808,94.25669722259045
7b,fastv,mmstar_000405,mmstar,dense,False,False,False,61.823897790908816,175.11042766273022
7b,fastv,mmstar_000407,mmstar,432,False,False,False,36.86794400215149,103.2013837248087
7b,fastv,mmstar_000413,mmstar,dense,False,False,False,36.16166806459427,101.06664709746838
7b,fastv,mmstar_000423,mmstar,432,True,False,False,55.97285548686981,157.6200369745493
7b,fastv,mmstar_000427,mmstar,432,False,False,False,36.10656761050224,104.05120067298412
7b,fastv,mmstar_000428,mmstar,432,False,False,False,31.95497532248497,93.15508976578712
7b,fastv,mmstar_000431,mmstar,dense,False,False,False,31.47879880666733,92.34942682087421
7b,fastv,mmstar_000433,mmstar,432,False,False,False,30.876736023426055,91.01387299597263
7b,fastv,mmstar_000438,mmstar,432,False,False,False,33.91329815745353,100.18191300332546
7b,fastv,mmstar_000440,mmstar,dense,True,False,True,31.502065290212627,92.45860576629639
7b,fastv,mmstar_000444,mmstar,432,False,False,False,31.026218994855878,90.82605317234993
7b,fastv,mmstar_000447,mmstar,432,True,False,True,36.3459493291378,105.08308745920658
7b,fastv,mmstar_000453,mmstar,432,False,False,False,55.420104756355286,159.06278043985367
7b,fastv,mmstar_000464,mmstar,dense,False,False,False,36.81118160247803,104.74796779453754
7b,fastv,mmstar_000466,mmstar,dense,False,False,False,35.53907747149468,100.68854503333569
7b,fastv,mmstar_000470,mmstar,432,False,False,False,35.617224650383,100.4671435803175
7b,fastv,mmstar_000473,mmstar,432,False,True,False,32.059310268163685,90.61975218355656
7b,fastv,mmstar_000479,mmstar,dense,False,False,False,49.50904000759125,140.16898907721043
7b,fastv,mmstar_000481,mmstar,dense,True,False,True,33.92618206858635,95.89299000799656
7b,fastv,mmstar_000485,mmstar,dense,False,False,False,33.35770245552063,94.26494687795639
7b,fastv,mmstar_000491,mmstar,432,True,False,False,33.6677154636383,94.92738172411919
7b,fastv,mmstar_000494,mmstar,432,False,False,False,42.776582853794096,120.14644220471382
7b,fastv,mmstar_000495,mmstar,432,False,False,False,35.8577868103981,99.9282505363226
7b,fastv,mmstar_000500,mmstar,dense,True,False,False,54.296894872188574,150.08395165205002
7b,fastv,mmstar_000501,mmstar,dense,False,False,False,33.014106166362765,92.70212799310684
7b,fastv,mmstar_000508,mmstar,dense,False,False,False,32.788101768493654,93.46279501914978
7b,fastv,mmstar_000509,mmstar,432,False,False,False,34.00996512651444,96.9170480966568
7b,fastv,mmstar_000511,mmstar,432,False,False,False,85.91284580230712,244.89752389490604
7b,fastv,mmstar_000512,mmstar,dense,False,False,False,38.14737797498703,111.2613920122385
7b,fastv,mmstar_000519,mmstar,dense,False,False,False,31.26321830153465,91.83958917856216
7b,fastv,mmstar_000521,mmstar,432,False,False,False,32.54811653733253,95.95122002065182
7b,fastv,mmstar_000538,mmstar,432,False,True,False,33.146384935379025,95.4176876693964
7b,fastv,mmstar_000542,mmstar,432,False,False,False,33.398822007179255,95.1622873544693
7b,fastv,mmstar_000553,mmstar,dense,True,False,False,36.696518769264216,102.96397283673286
7b,fastv,mmstar_000563,mmstar,dense,False,False,False,36.962680131196976,103.06813381612301
7b,fastv,mmstar_000564,mmstar,dense,False,False,False,35.362023367881775,98.30114059150219
7b,fastv,mmstar_000567,mmstar,dense,False,False,False,32.73287412047386,90.93276225030422
7b,fastv,mmstar_000572,mmstar,dense,False,False,False,33.691902081966404,91.73157811164856
7b,fastv,mmstar_000575,mmstar,432,True,False,True,37.00828938007355,100.21968185901642
7b,fastv,mmstar_000577,mmstar,432,False,False,False,33.88804425358772,89.92053754627705
7b,fastv,mmstar_000578,mmstar,432,True,False,False,36.068854249715805,95.2057670801878
7b,fastv,mmstar_000581,mmstar,dense,False,False,False,117.49084451675415,331.0982044786215
7b,fastv,mmstar_000582,mmstar,432,False,False,False,35.62504851937294,107.85563848912716
7b,fastv,mmstar_000589,mmstar,dense,False,False,False,43.534413921833035,137.99571245908737
7b,fastv,mmstar_000591,mmstar,dense,False,False,False,29.19876852631569,93.5352947562933
7b,fastv,mmstar_000592,mmstar,dense,True,False,False,27.999981912374494,90.22677689790726
7b,fastv,mmstar_000593,mmstar,dense,False,False,False,28.313173030614855,92.03006140887737
7b,fastv,mmstar_000597,mmstar,dense,True,False,True,27.763958871364597,90.71995317935944
7b,fastv,mmstar_000600,mmstar,432,True,True,False,30.643763433694843,97.25774265825748
7b,fastv,mmstar_000602,mmstar,432,False,False,False,29.045139806270605,90.69661237299442
7b,fastv,mmstar_000608,mmstar,432,False,False,False,83.9861234664917,243.01337078213692
7b,fastv,mmstar_000613,mmstar,432,False,False,False,90.98284040927886,252.8666239231825
7b,fastv,mmstar_000614,mmstar,432,False,False,False,48.60186199188232,136.27308048307896
7b,fastv,mmstar_000617,mmstar,dense,True,False,False,33.90845638513565,94.8119331151247
7b,fastv,mmstar_000622,mmstar,432,False,False,False,33.82062485218048,94.50911916792393
7b,fastv,mmstar_000631,mmstar,dense,True,False,True,32.903186881542204,91.17544814944267
7b,fastv,mmstar_000634,mmstar,dense,False,False,False,37.449272637367244,103.79304736852646
7b,fastv,mmstar_000635,mmstar,dense,False,False,False,31.38653955459595,87.0543047785759
7b,fastv,mmstar_000636,mmstar,432,False,False,False,33.646571098566056,93.25443021953106
7b,fastv,mmstar_000657,mmstar,432,True,False,False,37.244231672286986,101.95642337203026
7b,fastv,mmstar_000673,mmstar,dense,False,False,False,37.89879362344742,103.22931595146656
7b,fastv,mmstar_000680,mmstar,432,False,False,False,37.06518605351448,98.29502739012241
7b,fastv,mmstar_000683,mmstar,432,False,False,False,35.480672793388365,93.89178454875946
7b,fastv,mmstar_000685,mmstar,dense,False,False,False,35.52333553433418,93.22716854512691
7b,fastv,mmstar_000691,mmstar,dense,True,False,True,33.621361157894135,88.35561573505402
7b,fastv,mmstar_000693,mmstar,dense,True,False,True,33.82157791852951,89.96192552149296
7b,fastv,mmstar_000701,mmstar,dense,True,False,True,32.90284727811814,87.52010017633438
7b,fastv,mmstar_000703,mmstar,dense,True,False,False,34.315922859907154,92.24503114819527
7b,fastv,mmstar_000705,mmstar,dense,True,False,True,33.025116484165196,88.78890797495842
7b,fastv,mmstar_000711,mmstar,dense,True,False,True,33.533015275001524,91.05049259960651
7b,fastv,mmstar_000720,mmstar,dense,True,False,True,35.47144673347473,96.42131440341473
7b,fastv,mmstar_000723,mmstar,432,True,False,True,33.259591045379636,90.93506447970867
7b,fastv,mmstar_000731,mmstar,dense,True,False,True,32.783204877376555,89.75138515233994
7b,fastv,mmstar_000732,mmstar,dense,True,False,True,49.416601910591126,135.13694144785404
7b,fastv,mmstar_000736,mmstar,dense,False,False,False,34.41733079433441,94.06414814293385
7b,fastv,mmstar_000741,mmstar,dense,True,False,False,32.86514812588691,89.63858522474766
7b,fastv,mmstar_000757,mmstar,432,False,False,False,32.88917216539382,89.67681415379047
7b,fastv,mmstar_000769,mmstar,432,False,False,False,34.018904534578326,92.61779673397541
7b,fastv,mmstar_000777,mmstar,dense,False,False,False,43.63294753551483,118.83687041699886
7b,fastv,mmstar_000778,mmstar,432,True,False,False,38.22725764274597,104.20558042824268
7b,fastv,mmstar_000782,mmstar,dense,False,False,False,39.12796210289001,107.08899423480034
7b,fastv,mmstar_000783,mmstar,dense,True,False,True,38.70208738327026,106.84862174093723
7b,fastv,mmstar_000784,mmstar,432,False,False,False,42.45677904605866,118.10192838311195
7b,fastv,mmstar_000786,mmstar,432,True,False,True,58.42837172269821,163.46609219908714
7b,fastv,mmstar_000788,mmstar,dense,True,False,False,39.07372820138931,109.06551592051983
7b,fastv,mmstar_000789,mmstar,dense,False,False,False,35.264885993003844,98.32885675132275
7b,fastv,mmstar_000794,mmstar,dense,True,False,False,33.65971888303757,93.77297572791576
7b,fastv,mmstar_000796,mmstar,dense,False,False,False,39.12989108562469,114.70947973430157
7b,fastv,mmstar_000797,mmstar,432,False,False,False,32.054983642101284,96.29027359187603
7b,fastv,mmstar_000803,mmstar,dense,True,False,True,31.093139555454254,93.45359168946743
7b,fastv,mmstar_000811,mmstar,dense,False,False,False,30.92759131193161,91.95371344685555
7b,fastv,mmstar_000823,mmstar,432,False,False,False,74.37689113140107,219.7832576930523
7b,fastv,mmstar_000828,mmstar,432,False,False,False,31.85288252592087,93.27008202672005
7b,fastv,mmstar_000840,mmstar,dense,False,False,False,36.076352596282966,103.10686379671097
7b,fastv,mmstar_000842,mmstar,dense,False,False,False,34.59990594983101,98.03698770701885
7b,fastv,mmstar_000854,mmstar,432,False,False,False,33.1592596757412,90.62323160469532
7b,fastv,mmstar_000868,mmstar,432,True,False,False,55.91393738150597,149.8445589095354
7b,fastv,mmstar_000872,mmstar,432,False,False,False,36.88431181311607,96.40540368855
7b,fastv,mmstar_000873,mmstar,432,False,False,False,37.05481468558311,96.33120335638523
7b,fastv,mmstar_000880,mmstar,432,True,False,False,52.74639816761017,136.85932382941246
7b,fastv,mmstar_000881,mmstar,432,False,True,False,176.95526683568954,463.48040364682674
7b,fastv,mmstar_000882,mmstar,432,False,False,False,35.824324622154236,96.82903438806534
7b,fastv,mmstar_000887,mmstar,dense,False,False,False,31.88453977823258,88.65584619343281
7b,fastv,mmstar_000902,mmstar,432,False,False,False,57.11552743077279,161.08020395040512
7b,fastv,mmstar_000905,mmstar,432,False,False,False,61.18275343418121,175.0445794314146
7b,fastv,mmstar_000909,mmstar,432,False,False,False,32.59109498262405,97.3680131137371
7b,fastv,mmstar_000911,mmstar,432,False,False,False,30.403793853521346,90.93029238283634
7b,fastv,mmstar_000920,mmstar,dense,False,False,False,52.000100769996635,156.71318024396896
7b,fastv,mmstar_000928,mmstar,dense,False,False,False,31.162983901500702,92.64187887310982
7b,fastv,mmstar_000934,mmstar,dense,False,False,False,30.810323777198793,91.14750660955906
7b,fastv,mmstar_000936,mmstar,dense,False,False,False,31.225244302749637,92.25907362997532
7b,fastv,mmstar_000942,mmstar,dense,False,False,False,52.89918007254601,156.08772821724415
7b,fastv,mmstar_000945,mmstar,432,False,False,False,33.46187553405762,98.07144477963448
7b,fastv,mmstar_000950,mmstar,432,False,False,False,31.264934206008913,91.47087670862675
7b,fastv,mmstar_000951,mmstar,432,False,False,False,31.281191110610962,90.63700214028358
7b,fastv,mmstar_000953,mmstar,432,False,False,False,31.385434727668763,91.02111123502254
7b,fastv,mmstar_000959,mmstar,432,False,False,False,31.60673076748848,92.01164357364178
7b,fastv,mmstar_000962,mmstar,dense,True,False,False,111.39744512677194,343.1787136942148
7b,fastv,mmstar_000963,mmstar,432,False,False,False,30.093860872983935,101.20433196425438
7b,fastv,mmstar_000970,mmstar,dense,False,False,False,28.60090559720993,96.13528288900852
7b,fastv,mmstar_000971,mmstar,dense,False,False,False,27.558501660823822,92.58941747248173
7b,fastv,mmstar_000972,mmstar,432,False,False,False,30.39455080389977,100.9066179394722
7b,fastv,mmstar_000974,mmstar,dense,False,False,False,26.940258638858797,88.82460743188858
7b,fastv,mmstar_000978,mmstar,432,False,False,False,28.51472123980522,93.73623318970203
7b,fastv,mmstar_000979,mmstar,432,True,False,True,33.20686737656593,108.94700698554516
7b,fastv,mmstar_000995,mmstar,dense,True,False,False,31.30225040197372,96.61361388862133
7b,fastv,mmstar_000998,mmstar,432,False,False,False,53.70134616136551,159.5302429050207
7b,fastv,mmstar_001005,mmstar,dense,False,False,False,115.9819076859951,341.77334420382977
7b,fastv,mmstar_001006,mmstar,dense,False,False,False,29.06942707538605,95.74664942920208
7b,fastv,mmstar_001012,mmstar,dense,False,False,False,42.209426405429845,141.88938029110432
7b,fastv,mmstar_001017,mmstar,dense,False,False,False,29.919759478569034,101.24054737389088
7b,fastv,mmstar_001022,mmstar,432,False,False,False,33.795752053260806,114.8565299808979
7b,fastv,mmstar_001025,mmstar,dense,True,False,True,28.51681899547577,97.58052229881287
7b,fastv,mmstar_001029,mmstar,dense,False,False,False,28.275746841430667,96.16528265178204
7b,fastv,mmstar_001031,mmstar,432,False,False,False,30.397832254171373,102.86845080554485
7b,fastv,mmstar_001032,mmstar,432,True,False,False,30.757028388977055,96.76874615252018
7b,fastv,mmstar_001035,mmstar,dense,True,False,True,97.12754621982575,283.4670692682266
7b,fastv,mmstar_001039,mmstar,dense,False,False,False,35.32926639318466,100.11047124862671
7b,fastv,mmstar_001044,mmstar,dense,False,False,False,33.18492175579071,94.2694079130888
7b,fastv,mmstar_001048,mmstar,dense,False,False,False,39.15245935916901,114.0576358884573
7b,fastv,mmstar_001059,mmstar,432,False,False,False,57.12889624595641,169.9892319738865
7b,fastv,mmstar_001061,mmstar,dense,False,False,False,32.63713832855225,97.9608241468668
7b,fastv,mmstar_001066,mmstar,432,False,False,False,34.59455179572106,104.34592515230179
7b,fastv,mmstar_001068,mmstar,dense,False,False,False,33.90224046111107,102.60454006493092
7b,fastv,mmstar_001069,mmstar,dense,False,False,False,31.63939418196678,95.81656940281391
7b,fastv,mmstar_001083,mmstar,dense,True,False,False,32.38884962320328,96.89831174910069
7b,fastv,mmstar_001094,mmstar,dense,False,False,False,29.265980377197266,86.88981272280216
7b,fastv,mmstar_001097,mmstar,dense,False,False,False,48.20088113307953,138.99650797247887
7b,fastv,mmstar_001103,mmstar,dense,True,False,True,35.44360726594925,100.89504718780518
7b,fastv,mmstar_001104,mmstar,dense,False,False,False,33.98558835983276,94.83310021460056
7b,fastv,mmstar_001112,mmstar,dense,False,False,False,33.68893655776977,94.0062366425991
7b,fastv,mmstar_001115,mmstar,dense,False,False,False,32.157084785699844,88.92541751265526
7b,fastv,mmstar_001121,mmstar,dense,False,False,False,36.33979516625404,100.49930401146412
7b,fastv,mmstar_001122,mmstar,256,True,False,False,93.8483825492859,254.23433259129524
7b,fastv,mmstar_001126,mmstar,432,False,False,False,37.93076241016388,103.93542982637882
7b,fastv,mmstar_001131,mmstar,dense,False,False,False,35.18741736650467,97.23190031945705
7b,fastv,mmstar_001133,mmstar,dense,True,False,False,94.44933935880661,261.40766590833664
7b,fastv,mmstar_001137,mmstar,dense,False,False,False,38.971717071533206,108.81891660392284
7b,fastv,mmstar_001146,mmstar,dense,True,False,False,36.47631229400634,103.50555554032326
7b,fastv,mmstar_001159,mmstar,432,False,False,False,33.9493073272705,97.35623188316822
7b,fastv,mmstar_001160,mmstar,dense,False,False,False,34.27467265129089,99.06310401856899
7b,fastv,mmstar_001169,mmstar,dense,False,False,False,33.289506423473355,95.53558938205242
7b,fastv,mmstar_001188,mmstar,dense,False,False,False,78.00502650022506,220.6755466759205
7b,fastv,mmstar_001191,mmstar,dense,False,False,False,31.732026765346525,93.11885945498943
7b,fastv,mmstar_001194,mmstar,dense,False,False,False,43.78013071060181,134.2079844325781
7b,fastv,mmstar_001195,mmstar,dense,False,False,False,34.798338036537174,106.83492198586464
7b,fastv,mmstar_001209,mmstar,432,True,False,False,32.35841294288635,99.04717281460762
7b,fastv,mmstar_001213,mmstar,dense,False,False,False,30.568595843315123,93.35768222808838
7b,fastv,mmstar_001221,mmstar,dense,True,False,False,39.766445708274844,121.11267633736134
7b,fastv,mmstar_001224,mmstar,432,False,False,False,37.45132919788361,115.59896543622017
7b,fastv,mmstar_001226,mmstar,dense,False,False,False,32.452788321971894,100.48345662653446
7b,fastv,mmstar_001227,mmstar,dense,False,False,False,31.451903059482575,94.28676031529903
7b,fastv,mmstar_001228,mmstar,dense,False,False,False,30.72742825984955,92.12412126362324
7b,fastv,mmstar_001230,mmstar,dense,False,False,False,56.53336944103241,158.2476031035185
7b,fastv,mmstar_001241,mmstar,dense,False,False,False,33.66653740286827,92.58022904396057
7b,fastv,mmstar_001246,mmstar,dense,True,False,False,64.90803245425224,176.5584982931614
7b,fastv,mmstar_001247,mmstar,dense,False,False,False,36.84718531608581,100.35208240151405
7b,fastv,mmstar_001249,mmstar,dense,False,False,False,35.4768896484375,97.86583483219147
7b,fastv,mmstar_001251,mmstar,dense,False,False,False,62.599550497531894,176.28388665616512
7b,fastv,mmstar_001261,mmstar,dense,True,False,False,35.130872898101806,102.728221565485
7b,fastv,mmstar_001276,mmstar,dense,False,False,False,29.580306980609894,88.180772960186
7b,fastv,mmstar_001280,mmstar,dense,True,False,False,59.661743735075,182.80045315623283
7b,fastv,mmstar_001285,mmstar,dense,False,False,False,47.31906456589699,147.77115359902382
7b,fastv,mmstar_001287,mmstar,432,False,False,False,29.741875580549237,93.85642781853676
7b,fastv,mmstar_001288,mmstar,432,False,False,False,30.470866674184798,96.28754295408726
7b,fastv,mmstar_001289,mmstar,432,False,True,False,29.985003759860987,93.16147863864899
7b,fastv,mmstar_001290,mmstar,dense,False,False,False,30.904589927196497,95.87232768535614
7b,fastv,mmstar_001293,mmstar,dense,False,False,False,37.22703814029693,110.92909052968025
7b,fastv,mmstar_001298,mmstar,dense,True,False,True,64.66374098658562,190.6670518219471
7b,fastv,mmstar_001304,mmstar,dense,False,False,False,78.10230041742325,227.28215157985687
7b,fastv,mmstar_001307,mmstar,432,True,False,False,31.135047812461856,90.34472890198231
7b,fastv,mmstar_001320,mmstar,dense,True,False,True,30.884388980865477,89.74369429051876
7b,fastv,mmstar_001326,mmstar,432,True,False,True,32.29385640382767,94.07960623502731
7b,fastv,mmstar_001331,mmstar,dense,False,False,False,31.555722016096116,92.25888177752495
7b,fastv,mmstar_001346,mmstar,dense,False,False,False,31.064360805749892,90.89960344135761
7b,fastv,mmstar_001347,mmstar,dense,False,False,False,30.622394809722902,89.69581499695778
7b,fastv,mmstar_001350,mmstar,432,True,False,False,31.558876091241835,92.55235642194748
7b,fastv,mmstar_001353,mmstar,432,False,False,False,66.98653037905693,196.89730927348137
7b,fastv,mmstar_001366,mmstar,432,False,False,False,36.73998087644577,108.17729122936726
7b,fastv,mmstar_001371,mmstar,432,True,False,False,110.66055946946145,346.9970915466547
7b,fastv,mmstar_001378,mmstar,dense,False,False,False,30.343020727634432,101.54269263148308
7b,fastv,mmstar_001379,mmstar,dense,False,False,False,39.40711004734039,135.8205247670412
7b,fastv,mmstar_001382,mmstar,432,True,False,False,28.245353515148167,97.18488901853561
7b,fastv,mmstar_001394,mmstar,432,False,False,False,28.200152792930606,96.96544893085957
7b,fastv,mmstar_001395,mmstar,dense,False,False,False,26.37479333639145,89.94832448661327
7b,fastv,mmstar_001397,mmstar,432,False,False,False,33.008719346523286,111.93342134356499
7b,fastv,mmstar_001401,mmstar,dense,False,False,False,27.76019716024399,89.918227866292
7b,fastv,mmstar_001402,mmstar,dense,False,False,False,28.513165891170505,90.64753167331219
7b,fastv,mmstar_001410,mmstar,432,False,False,False,157.96422411084177,443.06803308427334
7b,fastv,mmstar_001412,mmstar,dense,False,False,False,45.4163063800335,124.35601279139519
7b,fastv,mmstar_001420,mmstar,dense,False,False,False,36.85746011376381,102.00603492558002
7b,fastv,mmstar_001421,mmstar,432,True,False,False,33.7708844602108,94.68224458396435
7b,fastv,mmstar_001424,mmstar,dense,False,False,False,33.8088514482975,96.14376351237297
7b,fastv,mmstar_001427,mmstar,432,True,False,False,36.066821372509004,103.69887016713619
7b,fastv,mmstar_001432,mmstar,432,True,False,False,31.263002874851228,91.71254746615887
7b,fastv,mmstar_001434,mmstar,432,False,False,False,94.25960675001144,281.1934407800436
7b,fastv,mmstar_001436,mmstar,432,True,False,False,31.05713901758194,92.67884865403175
7b,fastv,mmstar_001440,mmstar,dense,False,False,False,43.25875565290451,129.13435697555542
7b,fastv,mmstar_001444,mmstar,dense,False,False,False,32.081484128236774,96.62884473800659
7b,fastv,mmstar_001446,mmstar,dense,True,False,True,40.3256354033947,123.55952896177769
7b,fastv,mmstar_001448,mmstar,432,False,False,False,34.44645810127259,107.04705491662025
7b,fastv,mmstar_001451,mmstar,dense,True,False,False,27.26640778779984,86.71223372220993
7b,fastv,mmstar_001452,mmstar,dense,False,False,False,29.84559517860413,95.48686817288399
7b,fastv,mmstar_001455,mmstar,dense,False,False,False,29.241520062685012,93.05457770824432
7b,fastv,mmstar_001467,mmstar,dense,False,False,False,27.29897753834724,86.67649328708649
7b,fastv,mmstar_001470,mmstar,dense,True,False,False,28.662851198911667,89.35320004820824
7b,fastv,mmstar_001477,mmstar,dense,False,False,False,31.037529500722886,95.31171433627605
7b,fastv,mmstar_001484,mmstar,dense,False,False,False,30.868742326498033,92.55763329565525
7b,fastv,mmstar_001490,mmstar,dense,True,False,False,31.310238761901857,91.56528860330582
7b,fastv,mmstar_001491,mmstar,dense,True,False,False,31.64070822238922,90.9523032605648
7b,fastv,mmstar_001492,mmstar,432,True,False,False,32.53223160266876,91.21415577828884
7b,fastv,mmstar_001496,mmstar,dense,False,False,False,31.772085106372835,88.62395584583282
7b,fastv,pope_adversarial_000324,pope_adversarial,432,True,False,True,33.89014543533325,93.73214468359947
7b,fastv,pope_adversarial_000751,pope_adversarial,432,True,False,False,33.94669027805328,94.27755884826183
7b,fastv,pope_adversarial_000781,pope_adversarial,432,True,False,False,32.36284874916077,90.35501815378666
7b,fastv,pope_adversarial_000787,pope_adversarial,432,True,False,False,32.82124432325363,91.96551144123077
7b,fastv,pope_adversarial_000828,pope_adversarial,432,False,False,False,32.29063941955567,90.9002423286438
7b,fastv,pope_adversarial_000834,pope_adversarial,432,True,False,True,37.51405467033386,106.6590491682291
7b,fastv,pope_adversarial_000840,pope_adversarial,432,True,False,True,32.84296820640564,94.37727741897106
7b,fastv,pope_adversarial_000846,pope_adversarial,432,False,False,False,32.0615363073349,92.94917993247509
7b,fastv,pope_adversarial_000852,pope_adversarial,432,True,False,True,30.976587760448453,90.47608822584152
7b,fastv,pope_adversarial_000900,pope_adversarial,432,True,False,True,31.28258896589279,90.82062542438507
7b,fastv,pope_adversarial_000908,pope_adversarial,432,True,False,True,31.0498486328125,89.51730094850063
